race;horseNumber;odds;type
[1, 2];[1, 1];15.0;DBL
[1, 2];[2, 1];12.0;DBL
[1, 2];[3, 1];654.0;DBL
[1, 2];[4, 1];83.0;DBL
[1, 2];[5, 1];818.0;DBL
[1, 2];[6, 1];629.0;DBL
[1, 2];[7, 1];333.0;DBL
[1, 2];[8, 1];366.0;DBL
[1, 2];[9, 1];587.0;DBL
[1, 2];[10, 1];20.0;DBL
[1, 2];[11, 1];58.0;DBL
[1, 2];[12, 1];302.0;DBL
[1, 2];[13, 1];78.0;DBL
[1, 2];[1, 2];32.0;DBL
[1, 2];[2, 2];28.0;DBL
[1, 2];[3, 2];931.0;DBL
[1, 2];[4, 2];153.0;DBL
[1, 2];[5, 2];999.0;DBL
[1, 2];[6, 2];972.0;DBL
[1, 2];[7, 2];515.0;DBL
[1, 2];[8, 2];643.0;DBL
[1, 2];[9, 2];760.0;DBL
[1, 2];[10, 2];70.0;DBL
[1, 2];[11, 2];92.0;DBL
[1, 2];[12, 2];578.0;DBL
[1, 2];[13, 2];147.0;DBL
[1, 2];[1, 3];48.0;DBL
[1, 2];[2, 3];33.0;DBL
[1, 2];[3, 3];943.0;DBL
[1, 2];[4, 3];160.0;DBL
[1, 2];[5, 3];999.0;DBL
[1, 2];[6, 3];893.0;DBL
[1, 2];[7, 3];579.0;DBL
[1, 2];[8, 3];587.0;DBL
[1, 2];[9, 3];771.0;DBL
[1, 2];[10, 3];79.0;DBL
[1, 2];[11, 3];94.0;DBL
[1, 2];[12, 3];452.0;DBL
[1, 2];[13, 3];149.0;DBL
[1, 2];[1, 4];42.0;DBL
[1, 2];[2, 4];32.0;DBL
[1, 2];[3, 4];768.0;DBL
[1, 2];[4, 4];114.0;DBL
[1, 2];[5, 4];999.0;DBL
[1, 2];[6, 4];999.0;DBL
[1, 2];[7, 4];564.0;DBL
[1, 2];[8, 4];549.0;DBL
[1, 2];[9, 4];893.0;DBL
[1, 2];[10, 4];66.0;DBL
[1, 2];[11, 4];99.0;DBL
[1, 2];[12, 4];462.0;DBL
[1, 2];[13, 4];180.0;DBL
[1, 2];[1, 5];94.0;DBL
[1, 2];[2, 5];68.0;DBL
[1, 2];[3, 5];999.0;DBL
[1, 2];[4, 5];345.0;DBL
[1, 2];[5, 5];999.0;DBL
[1, 2];[6, 5];999.0;DBL
[1, 2];[7, 5];812.0;DBL
[1, 2];[8, 5];999.0;DBL
[1, 2];[9, 5];999.0;DBL
[1, 2];[10, 5];182.0;DBL
[1, 2];[11, 5];205.0;DBL
[1, 2];[12, 5];896.0;DBL
[1, 2];[13, 5];286.0;DBL
[1, 2];[1, 6];39.0;DBL
[1, 2];[2, 6];25.0;DBL
[1, 2];[3, 6];999.0;DBL
[1, 2];[4, 6];112.0;DBL
[1, 2];[5, 6];932.0;DBL
[1, 2];[6, 6];516.0;DBL
[1, 2];[7, 6];381.0;DBL
[1, 2];[8, 6];534.0;DBL
[1, 2];[9, 6];554.0;DBL
[1, 2];[10, 6];62.0;DBL
[1, 2];[11, 6];81.0;DBL
[1, 2];[12, 6];435.0;DBL
[1, 2];[13, 6];132.0;DBL
[1, 2];[1, 7];79.0;DBL
[1, 2];[2, 7];58.0;DBL
[1, 2];[3, 7];999.0;DBL
[1, 2];[4, 7];295.0;DBL
[1, 2];[5, 7];999.0;DBL
[1, 2];[6, 7];999.0;DBL
[1, 2];[7, 7];760.0;DBL
[1, 2];[8, 7];999.0;DBL
[1, 2];[9, 7];999.0;DBL
[1, 2];[10, 7];133.0;DBL
[1, 2];[11, 7];164.0;DBL
[1, 2];[12, 7];695.0;DBL
