race;horseNumber;odds;type
[8, 9];[1, 1];27.0;DBL
[8, 9];[2, 1];21.0;DBL
[8, 9];[3, 1];61.0;DBL
[8, 9];[4, 1];34.0;DBL
[8, 9];[5, 1];451.0;DBL
[8, 9];[6, 1];999.0;DBL
[8, 9];[7, 1];999.0;DBL
[8, 9];[8, 1];218.0;DBL
[8, 9];[9, 1];999.0;DBL
[8, 9];[10, 1];184.0;DBL
[8, 9];[11, 1];184.0;DBL
[8, 9];[1, 2];22.0;DBL
[8, 9];[2, 2];18.0;DBL
[8, 9];[3, 2];274.0;DBL
[8, 9];[4, 2];43.0;DBL
[8, 9];[5, 2];453.0;DBL
[8, 9];[6, 2];999.0;DBL
[8, 9];[7, 2];999.0;DBL
[8, 9];[8, 2];377.0;DBL
[8, 9];[9, 2];999.0;DBL
[8, 9];[10, 2];263.0;DBL
[8, 9];[11, 2];233.0;DBL
[8, 9];[1, 3];18.0;DBL
[8, 9];[2, 3];9.3;DBL
[8, 9];[3, 3];168.0;DBL
[8, 9];[4, 3];18.0;DBL
[8, 9];[5, 3];426.0;DBL
[8, 9];[6, 3];999.0;DBL
[8, 9];[7, 3];999.0;DBL
[8, 9];[8, 3];204.0;DBL
[8, 9];[9, 3];999.0;DBL
[8, 9];[10, 3];187.0;DBL
[8, 9];[11, 3];153.0;DBL
[8, 9];[1, 4];62.0;DBL
[8, 9];[2, 4];30.0;DBL
[8, 9];[3, 4];267.0;DBL
[8, 9];[4, 4];45.0;DBL
[8, 9];[5, 4];649.0;DBL
[8, 9];[6, 4];991.0;DBL
[8, 9];[7, 4];999.0;DBL
[8, 9];[8, 4];411.0;DBL
[8, 9];[9, 4];999.0;DBL
[8, 9];[10, 4];253.0;DBL
[8, 9];[11, 4];168.0;DBL
[8, 9];[1, 5];68.0;DBL
[8, 9];[2, 5];36.0;DBL
[8, 9];[3, 5];330.0;DBL
[8, 9];[4, 5];95.0;DBL
[8, 9];[5, 5];723.0;DBL
[8, 9];[6, 5];869.0;DBL
[8, 9];[7, 5];999.0;DBL
[8, 9];[8, 5];483.0;DBL
[8, 9];[9, 5];999.0;DBL
[8, 9];[10, 5];333.0;DBL
[8, 9];[11, 5];261.0;DBL
[8, 9];[1, 6];95.0;DBL
[8, 9];[2, 6];45.0;DBL
[8, 9];[3, 6];573.0;DBL
[8, 9];[4, 6];93.0;DBL
[8, 9];[5, 6];422.0;DBL
[8, 9];[6, 6];999.0;DBL
[8, 9];[7, 6];999.0;DBL
[8, 9];[8, 6];496.0;DBL
[8, 9];[9, 6];999.0;DBL
[8, 9];[10, 6];554.0;DBL
[8, 9];[11, 6];251.0;DBL
[8, 9];[1, 7];807.0;DBL
[8, 9];[2, 7];297.0;DBL
[8, 9];[3, 7];999.0;DBL
[8, 9];[4, 7];869.0;DBL
[8, 9];[5, 7];999.0;DBL
[8, 9];[6, 7];999.0;DBL
[8, 9];[7, 7];999.0;DBL
[8, 9];[8, 7];999.0;DBL
[8, 9];[9, 7];999.0;DBL
[8, 9];[10, 7];999.0;DBL
[8, 9];[11, 7];999.0;DBL
[8, 9];[1, 8];99.0;DBL
[8, 9];[2, 8];42.0;DBL
[8, 9];[3, 8];375.0;DBL
[8, 9];[4, 8];107.0;DBL
[8, 9];[5, 8];799.0;DBL
[8, 9];[6, 8];999.0;DBL
[8, 9];[7, 8];999.0;DBL
[8, 9];[8, 8];481.0;DBL
[8, 9];[9, 8];999.0;DBL
[8, 9];[10, 8];525.0;DBL
[8, 9];[11, 8];430.0;DBL
[8, 9];[1, 9];10.0;DBL
[8, 9];[2, 9];3.5;DBL
[8, 9];[3, 9];81.0;DBL
[8, 9];[4, 9];8.9;DBL
[8, 9];[5, 9];118.0;DBL
[8, 9];[6, 9];348.0;DBL
[8, 9];[7, 9];814.0;DBL
[8, 9];[8, 9];102.0;DBL
[8, 9];[9, 9];924.0;DBL
[8, 9];[10, 9];60.0;DBL
[8, 9];[11, 9];62.0;DBL
[8, 9];[1, 10];115.0;DBL
[8, 9];[2, 10];59.0;DBL
[8, 9];[3, 10];507.0;DBL
[8, 9];[4, 10];143.0;DBL
[8, 9];[5, 10];399.0;DBL
[8, 9];[6, 10];999.0;DBL
[8, 9];[7, 10];999.0;DBL
[8, 9];[8, 10];782.0;DBL
[8, 9];[9, 10];999.0;DBL
[8, 9];[10, 10];494.0;DBL
[8, 9];[11, 10];351.0;DBL
[8, 9];[1, 11];999.0;DBL
[8, 9];[2, 11];364.0;DBL
[8, 9];[3, 11];999.0;DBL
[8, 9];[4, 11];999.0;DBL
[8, 9];[5, 11];999.0;DBL
[8, 9];[6, 11];999.0;DBL
[8, 9];[7, 11];999.0;DBL
[8, 9];[8, 11];999.0;DBL
[8, 9];[9, 11];999.0;DBL
[8, 9];[10, 11];999.0;DBL
[8, 9];[11, 11];999.0;DBL
[8, 9];[1, 12];818.0;DBL
[8, 9];[2, 12];266.0;DBL
[8, 9];[3, 12];999.0;DBL
[8, 9];[4, 12];946.0;DBL
[8, 9];[5, 12];999.0;DBL
[8, 9];[6, 12];999.0;DBL
[8, 9];[7, 12];999.0;DBL
[8, 9];[8, 12];999.0;DBL
[8, 9];[9, 12];999.0;DBL
[8, 9];[10, 12];999.0;DBL
[8, 9];[11, 12];999.0;DBL
8;[1, 2];9.1;FCT
8;[2, 1];4.5;FCT
8;[1, 3];74.0;FCT
8;[2, 3];32.0;FCT
8;[3, 1];115.0;FCT
8;[3, 2];91.0;FCT
8;[1, 4];15.0;FCT
8;[2, 4];5.4;FCT
8;[3, 4];182.0;FCT
8;[4, 1];17.0;FCT
8;[4, 2];11.0;FCT
8;[4, 3];131.0;FCT
8;[1, 5];164.0;FCT
8;[2, 5];52.0;FCT
8;[3, 5];999.0;FCT
8;[4, 5];217.0;FCT
8;[5, 1];267.0;FCT
8;[5, 2];167.0;FCT
8;[5, 3];999.0;FCT
8;[5, 4];308.0;FCT
8;[1, 6];354.0;FCT
8;[2, 6];81.0;FCT
8;[3, 6];999.0;FCT
8;[4, 6];328.0;FCT
8;[5, 6];999.0;FCT
8;[6, 1];614.0;FCT
8;[6, 2];366.0;FCT
8;[6, 3];999.0;FCT
8;[6, 4];723.0;FCT
8;[6, 5];999.0;FCT
8;[1, 7];499.0;FCT
8;[2, 7];193.0;FCT
8;[3, 7];999.0;FCT
8;[4, 7];682.0;FCT
8;[5, 7];999.0;FCT
8;[6, 7];999.0;FCT
8;[7, 1];916.0;FCT
8;[7, 2];549.0;FCT
8;[7, 3];999.0;FCT
8;[7, 4];999.0;FCT
8;[7, 5];999.0;FCT
8;[7, 6];999.0;FCT
8;[1, 8];101.0;FCT
8;[2, 8];36.0;FCT
8;[3, 8];423.0;FCT
8;[4, 8];112.0;FCT
8;[5, 8];801.0;FCT
8;[6, 8];999.0;FCT
8;[7, 8];999.0;FCT
8;[8, 1];121.0;FCT
8;[8, 2];81.0;FCT
8;[8, 3];401.0;FCT
8;[8, 4];146.0;FCT
8;[8, 5];682.0;FCT
8;[8, 6];999.0;FCT
8;[8, 7];999.0;FCT
8;[1, 9];752.0;FCT
8;[2, 9];264.0;FCT
8;[3, 9];999.0;FCT
8;[4, 9];975.0;FCT
8;[5, 9];999.0;FCT
8;[6, 9];999.0;FCT
8;[7, 9];999.0;FCT
8;[8, 9];999.0;FCT
