race;horseNumber;odds;type
[4, 5];[1, 1];42.0;DBL
[4, 5];[2, 1];65.0;DBL
[4, 5];[3, 1];20.0;DBL
[4, 5];[4, 1];3.7;DBL
[4, 5];[5, 1];23.0;DBL
[4, 5];[6, 1];145.0;DBL
[4, 5];[7, 1];42.0;DBL
[4, 5];[8, 1];356.0;DBL
[4, 5];[9, 1];40.0;DBL
[4, 5];[10, 1];162.0;DBL
[4, 5];[11, 1];112.0;DBL
[4, 5];[12, 1];133.0;DBL
[4, 5];[13, 1];12.0;DBL
[4, 5];[14, 1];24.0;DBL
[4, 5];[1, 2];805.0;DBL
[4, 5];[2, 2];974.0;DBL
[4, 5];[3, 2];586.0;DBL
[4, 5];[4, 2];202.0;DBL
[4, 5];[5, 2];787.0;DBL
[4, 5];[6, 2];999.0;DBL
[4, 5];[7, 2];999.0;DBL
[4, 5];[8, 2];999.0;DBL
[4, 5];[9, 2];852.0;DBL
[4, 5];[10, 2];999.0;DBL
[4, 5];[11, 2];999.0;DBL
[4, 5];[12, 2];999.0;DBL
[4, 5];[13, 2];485.0;DBL
[4, 5];[14, 2];630.0;DBL
[4, 5];[1, 3];152.0;DBL
[4, 5];[2, 3];295.0;DBL
[4, 5];[3, 3];99.0;DBL
[4, 5];[4, 3];27.0;DBL
[4, 5];[5, 3];92.0;DBL
[4, 5];[6, 3];687.0;DBL
[4, 5];[7, 3];144.0;DBL
[4, 5];[8, 3];999.0;DBL
[4, 5];[9, 3];177.0;DBL
[4, 5];[10, 3];650.0;DBL
[4, 5];[11, 3];460.0;DBL
[4, 5];[12, 3];569.0;DBL
[4, 5];[13, 3];59.0;DBL
[4, 5];[14, 3];110.0;DBL
[4, 5];[1, 4];134.0;DBL
[4, 5];[2, 4];316.0;DBL
[4, 5];[3, 4];78.0;DBL
[4, 5];[4, 4];21.0;DBL
[4, 5];[5, 4];75.0;DBL
[4, 5];[6, 4];702.0;DBL
[4, 5];[7, 4];165.0;DBL
[4, 5];[8, 4];999.0;DBL
[4, 5];[9, 4];109.0;DBL
[4, 5];[10, 4];829.0;DBL
[4, 5];[11, 4];188.0;DBL
[4, 5];[12, 4];493.0;DBL
[4, 5];[13, 4];39.0;DBL
[4, 5];[14, 4];64.0;DBL
[4, 5];[1, 5];115.0;DBL
[4, 5];[2, 5];194.0;DBL
[4, 5];[3, 5];43.0;DBL
[4, 5];[4, 5];11.0;DBL
[4, 5];[5, 5];41.0;DBL
[4, 5];[6, 5];304.0;DBL
[4, 5];[7, 5];91.0;DBL
[4, 5];[8, 5];999.0;DBL
[4, 5];[9, 5];94.0;DBL
[4, 5];[10, 5];297.0;DBL
[4, 5];[11, 5];218.0;DBL
[4, 5];[12, 5];266.0;DBL
[4, 5];[13, 5];29.0;DBL
[4, 5];[14, 5];55.0;DBL
[4, 5];[1, 6];636.0;DBL
[4, 5];[2, 6];999.0;DBL
[4, 5];[3, 6];394.0;DBL
[4, 5];[4, 6];121.0;DBL
[4, 5];[5, 6];538.0;DBL
[4, 5];[6, 6];904.0;DBL
[4, 5];[7, 6];999.0;DBL
[4, 5];[8, 6];999.0;DBL
[4, 5];[9, 6];952.0;DBL
[4, 5];[10, 6];999.0;DBL
[4, 5];[11, 6];999.0;DBL
[4, 5];[12, 6];999.0;DBL
[4, 5];[13, 6];262.0;DBL
[4, 5];[14, 6];494.0;DBL
[4, 5];[1, 7];510.0;DBL
[4, 5];[2, 7];755.0;DBL
[4, 5];[3, 7];209.0;DBL
[4, 5];[4, 7];57.0;DBL
[4, 5];[5, 7];209.0;DBL
[4, 5];[6, 7];999.0;DBL
[4, 5];[7, 7];465.0;DBL
[4, 5];[8, 7];999.0;DBL
[4, 5];[9, 7];469.0;DBL
[4, 5];[10, 7];999.0;DBL
[4, 5];[11, 7];980.0;DBL
[4, 5];[12, 7];999.0;DBL
[4, 5];[13, 7];137.0;DBL
[4, 5];[14, 7];244.0;DBL
[4, 5];[1, 8];538.0;DBL
[4, 5];[2, 8];999.0;DBL
[4, 5];[3, 8];409.0;DBL
[4, 5];[4, 8];108.0;DBL
[4, 5];[5, 8];342.0;DBL
[4, 5];[6, 8];999.0;DBL
[4, 5];[7, 8];618.0;DBL
[4, 5];[8, 8];999.0;DBL
[4, 5];[9, 8];606.0;DBL
[4, 5];[10, 8];999.0;DBL
[4, 5];[11, 8];999.0;DBL
[4, 5];[12, 8];999.0;DBL
[4, 5];[13, 8];253.0;DBL
[4, 5];[14, 8];368.0;DBL
[4, 5];[1, 9];999.0;DBL
[4, 5];[2, 9];999.0;DBL
[4, 5];[3, 9];982.0;DBL
[4, 5];[4, 9];450.0;DBL
[4, 5];[5, 9];999.0;DBL
[4, 5];[6, 9];999.0;DBL
[4, 5];[7, 9];999.0;DBL
[4, 5];[8, 9];999.0;DBL
[4, 5];[9, 9];999.0;DBL
[4, 5];[10, 9];999.0;DBL
[4, 5];[11, 9];999.0;DBL
[4, 5];[12, 9];999.0;DBL
[4, 5];[13, 9];999.0;DBL
[4, 5];[14, 9];999.0;DBL
[4, 5];[1, 10];999.0;DBL
[4, 5];[2, 10];999.0;DBL
[4, 5];[3, 10];520.0;DBL
[4, 5];[4, 10];146.0;DBL
[4, 5];[5, 10];816.0;DBL
[4, 5];[6, 10];999.0;DBL
[4, 5];[7, 10];850.0;DBL
[4, 5];[8, 10];999.0;DBL
[4, 5];[9, 10];724.0;DBL
[4, 5];[10, 10];999.0;DBL
[4, 5];[11, 10];999.0;DBL
[4, 5];[12, 10];999.0;DBL
[4, 5];[13, 10];427.0;DBL
[4, 5];[14, 10];485.0;DBL
[4, 5];[1, 11];534.0;DBL
[4, 5];[2, 11];777.0;DBL
[4, 5];[3, 11];193.0;DBL
[4, 5];[4, 11];59.0;DBL
[4, 5];[5, 11];240.0;DBL
[4, 5];[6, 11];999.0;DBL
[4, 5];[7, 11];450.0;DBL
[4, 5];[8, 11];999.0;DBL
[4, 5];[9, 11];444.0;DBL
[4, 5];[10, 11];999.0;DBL
[4, 5];[11, 11];999.0;DBL
[4, 5];[12, 11];818.0;DBL
[4, 5];[13, 11];152.0;DBL
[4, 5];[14, 11];184.0;DBL
[4, 5];[1, 12];999.0;DBL
[4, 5];[2, 12];999.0;DBL
[4, 5];[3, 12];568.0;DBL
[4, 5];[4, 12];136.0;DBL
[4, 5];[5, 12];596.0;DBL
[4, 5];[6, 12];999.0;DBL
[4, 5];[7, 12];999.0;DBL
[4, 5];[8, 12];999.0;DBL
[4, 5];[9, 12];999.0;DBL
[4, 5];[10, 12];999.0;DBL
[4, 5];[11, 12];999.0;DBL
[4, 5];[12, 12];999.0;DBL
[4, 5];[13, 12];384.0;DBL
[4, 5];[14, 12];520.0;DBL
[4, 5];[1, 13];820.0;DBL
[4, 5];[2, 13];999.0;DBL
[4, 5];[3, 13];364.0;DBL
[4, 5];[4, 13];88.0;DBL
[4, 5];[5, 13];413.0;DBL
[4, 5];[6, 13];999.0;DBL
[4, 5];[7, 13];674.0;DBL
[4, 5];[8, 13];999.0;DBL
[4, 5];[9, 13];567.0;DBL
[4, 5];[10, 13];999.0;DBL
[4, 5];[11, 13];999.0;DBL
[4, 5];[12, 13];999.0;DBL
[4, 5];[13, 13];163.0;DBL
[4, 5];[14, 13];366.0;DBL
[4, 5];[1, 14];305.0;DBL
[4, 5];[2, 14];455.0;DBL
[4, 5];[3, 14];115.0;DBL
[4, 5];[4, 14];34.0;DBL
[4, 5];[5, 14];133.0;DBL
[4, 5];[6, 14];999.0;DBL
[4, 5];[7, 14];260.0;DBL
[4, 5];[8, 14];999.0;DBL
[4, 5];[9, 14];214.0;DBL
[4, 5];[10, 14];999.0;DBL
[4, 5];[11, 14];681.0;DBL
[4, 5];[12, 14];999.0;DBL
[4, 5];[13, 14];109.0;DBL
[4, 5];[14, 14];124.0;DBL
4;[1, 2];398.0;FCT
4;[2, 1];436.0;FCT
4;[1, 3];238.0;FCT
4;[2, 3];345.0;FCT
4;[3, 1];187.0;FCT
4;[3, 2];240.0;FCT
4;[1, 4];61.0;FCT
4;[2, 4];109.0;FCT
4;[3, 4];28.0;FCT
4;[4, 1];30.0;FCT
4;[4, 2];39.0;FCT
4;[4, 3];14.0;FCT
4;[1, 5];259.0;FCT
4;[2, 5];412.0;FCT
4;[3, 5];83.0;FCT
4;[4, 5];23.0;FCT
4;[5, 1];201.0;FCT
4;[5, 2];319.0;FCT
4;[5, 3];94.0;FCT
4;[5, 4];38.0;FCT
4;[1, 6];879.0;FCT
4;[2, 6];999.0;FCT
4;[3, 6];444.0;FCT
4;[4, 6];63.0;FCT
4;[5, 6];482.0;FCT
4;[6, 1];999.0;FCT
4;[6, 2];999.0;FCT
4;[6, 3];635.0;FCT
4;[6, 4];153.0;FCT
4;[6, 5];742.0;FCT
4;[1, 7];341.0;FCT
4;[2, 7];467.0;FCT
4;[3, 7];109.0;FCT
4;[4, 7];34.0;FCT
4;[5, 7];146.0;FCT
4;[6, 7];999.0;FCT
4;[7, 1];287.0;FCT
4;[7, 2];412.0;FCT
4;[7, 3];128.0;FCT
4;[7, 4];62.0;FCT
4;[7, 5];155.0;FCT
4;[7, 6];830.0;FCT
4;[1, 8];999.0;FCT
4;[2, 8];999.0;FCT
4;[3, 8];999.0;FCT
4;[4, 8];248.0;FCT
4;[5, 8];999.0;FCT
4;[6, 8];999.0;FCT
4;[7, 8];999.0;FCT
4;[8, 1];999.0;FCT
4;[8, 2];999.0;FCT
4;[8, 3];999.0;FCT
4;[8, 4];497.0;FCT
4;[8, 5];999.0;FCT
4;[8, 6];999.0;FCT
4;[8, 7];999.0;FCT
4;[1, 9];303.0;FCT
4;[2, 9];350.0;FCT
4;[3, 9];212.0;FCT
4;[4, 9];27.0;FCT
4;[5, 9];230.0;FCT
4;[6, 9];962.0;FCT
4;[7, 9];284.0;FCT
4;[8, 9];999.0;FCT
4;[9, 1];335.0;FCT
4;[9, 2];373.0;FCT
4;[9, 3];239.0;FCT
4;[9, 4];57.0;FCT
4;[9, 5];257.0;FCT
4;[9, 6];839.0;FCT
4;[9, 7];309.0;FCT
4;[9, 8];999.0;FCT
4;[1, 10];672.0;FCT
4;[2, 10];762.0;FCT
4;[3, 10];332.0;FCT
4;[4, 10];68.0;FCT
4;[5, 10];705.0;FCT
4;[6, 10];999.0;FCT
4;[7, 10];636.0;FCT
4;[8, 10];999.0;FCT
4;[9, 10];634.0;FCT
4;[10, 1];664.0;FCT
4;[10, 2];736.0;FCT
4;[10, 3];395.0;FCT
4;[10, 4];143.0;FCT
4;[10, 5];851.0;FCT
4;[10, 6];999.0;FCT
4;[10, 7];648.0;FCT
4;[10, 8];999.0;FCT
4;[10, 9];615.0;FCT
4;[1, 11];665.0;FCT
4;[2, 11];935.0;FCT
4;[3, 11];379.0;FCT
4;[4, 11];67.0;FCT
4;[5, 11];514.0;FCT
4;[6, 11];999.0;FCT
4;[7, 11];522.0;FCT
4;[8, 11];999.0;FCT
4;[9, 11];661.0;FCT
4;[10, 11];999.0;FCT
4;[11, 1];826.0;FCT
4;[11, 2];999.0;FCT
4;[11, 3];557.0;FCT
4;[11, 4];175.0;FCT
4;[11, 5];734.0;FCT
4;[11, 6];999.0;FCT
4;[11, 7];627.0;FCT
4;[11, 8];999.0;FCT
4;[11, 9];764.0;FCT
4;[11, 10];999.0;FCT
4;[1, 12];854.0;FCT
4;[2, 12];999.0;FCT
4;[3, 12];472.0;FCT
4;[4, 12];62.0;FCT
4;[5, 12];593.0;FCT
4;[6, 12];999.0;FCT
4;[7, 12];705.0;FCT
4;[8, 12];999.0;FCT
4;[9, 12];963.0;FCT
4;[10, 12];999.0;FCT
4;[11, 12];919.0;FCT
4;[12, 1];999.0;FCT
4;[12, 2];999.0;FCT
4;[12, 3];666.0;FCT
