race,horseNumber,odds,type
1,1,2.8,WIN
1,2,82,WIN
1,3,17.0,WIN
1,4,11.0,WIN
1,5,12.0,WIN
1,6,15.0,WIN
1,7,13.0,WIN
1,8,7.5,WIN
1,9,17.0,WIN
1,10,11.0,WIN
1,11,48,WIN
1,12,5.6,WIN
