race;horseNumber;odds;type
[2, 3];[1, 1];6.2;DBL
[2, 3];[2, 1];353.0;DBL
[2, 3];[3, 1];49.0;DBL
[2, 3];[4, 1];31.0;DBL
[2, 3];[5, 1];447.0;DBL
[2, 3];[6, 1];21.0;DBL
[2, 3];[7, 1];17.0;DBL
[2, 3];[8, 1];417.0;DBL
[2, 3];[9, 1];52.0;DBL
[2, 3];[10, 1];96.0;DBL
[2, 3];[11, 1];14.0;DBL
[2, 3];[12, 1];27.0;DBL
[2, 3];[13, 1];50.0;DBL
[2, 3];[14, 1];395.0;DBL
[2, 3];[1, 2];22.0;DBL
[2, 3];[2, 2];840.0;DBL
[2, 3];[3, 2];55.0;DBL
[2, 3];[4, 2];39.0;DBL
[2, 3];[5, 2];999.0;DBL
[2, 3];[6, 2];40.0;DBL
[2, 3];[7, 2];23.0;DBL
[2, 3];[8, 2];887.0;DBL
[2, 3];[9, 2];88.0;DBL
[2, 3];[10, 2];155.0;DBL
[2, 3];[11, 2];24.0;DBL
[2, 3];[12, 2];31.0;DBL
[2, 3];[13, 2];61.0;DBL
[2, 3];[14, 2];999.0;DBL
[2, 3];[1, 3];33.0;DBL
[2, 3];[2, 3];989.0;DBL
[2, 3];[3, 3];81.0;DBL
[2, 3];[4, 3];67.0;DBL
[2, 3];[5, 3];999.0;DBL
[2, 3];[6, 3];51.0;DBL
[2, 3];[7, 3];39.0;DBL
[2, 3];[8, 3];999.0;DBL
[2, 3];[9, 3];138.0;DBL
[2, 3];[10, 3];190.0;DBL
[2, 3];[11, 3];51.0;DBL
[2, 3];[12, 3];52.0;DBL
[2, 3];[13, 3];73.0;DBL
[2, 3];[14, 3];999.0;DBL
[2, 3];[1, 4];180.0;DBL
[2, 3];[2, 4];999.0;DBL
[2, 3];[3, 4];263.0;DBL
[2, 3];[4, 4];259.0;DBL
[2, 3];[5, 4];999.0;DBL
[2, 3];[6, 4];215.0;DBL
[2, 3];[7, 4];274.0;DBL
[2, 3];[8, 4];999.0;DBL
[2, 3];[9, 4];474.0;DBL
[2, 3];[10, 4];871.0;DBL
[2, 3];[11, 4];273.0;DBL
[2, 3];[12, 4];338.0;DBL
[2, 3];[13, 4];376.0;DBL
[2, 3];[14, 4];999.0;DBL
[2, 3];[1, 5];317.0;DBL
[2, 3];[2, 5];999.0;DBL
[2, 3];[3, 5];687.0;DBL
[2, 3];[4, 5];598.0;DBL
[2, 3];[5, 5];999.0;DBL
[2, 3];[6, 5];466.0;DBL
[2, 3];[7, 5];514.0;DBL
[2, 3];[8, 5];999.0;DBL
[2, 3];[9, 5];789.0;DBL
[2, 3];[10, 5];999.0;DBL
[2, 3];[11, 5];321.0;DBL
