race;horseNumber;odds;type
[2, 3];[1, 1];10.0;DBL
[2, 3];[2, 1];32.0;DBL
[2, 3];[3, 1];10.0;DBL
[2, 3];[4, 1];16.0;DBL
[2, 3];[5, 1];118.0;DBL
[2, 3];[6, 1];12.0;DBL
[2, 3];[7, 1];140.0;DBL
[2, 3];[8, 1];10.0;DBL
[2, 3];[9, 1];126.0;DBL
[2, 3];[10, 1];186.0;DBL
[2, 3];[11, 1];22.0;DBL
[2, 3];[12, 1];292.0;DBL
[2, 3];[13, 1];75.0;DBL
[2, 3];[14, 1];6.7;DBL
[2, 3];[1, 2];159.0;DBL
[2, 3];[2, 2];286.0;DBL
[2, 3];[3, 2];166.0;DBL
[2, 3];[4, 2];199.0;DBL
[2, 3];[5, 2];999.0;DBL
[2, 3];[6, 2];189.0;DBL
[2, 3];[7, 2];999.0;DBL
[2, 3];[8, 2];121.0;DBL
[2, 3];[9, 2];999.0;DBL
[2, 3];[10, 2];999.0;DBL
[2, 3];[11, 2];505.0;DBL
[2, 3];[12, 2];999.0;DBL
[2, 3];[13, 2];999.0;DBL
[2, 3];[14, 2];149.0;DBL
[2, 3];[1, 3];88.0;DBL
[2, 3];[2, 3];366.0;DBL
[2, 3];[3, 3];262.0;DBL
[2, 3];[4, 3];178.0;DBL
[2, 3];[5, 3];940.0;DBL
[2, 3];[6, 3];215.0;DBL
[2, 3];[7, 3];999.0;DBL
[2, 3];[8, 3];237.0;DBL
[2, 3];[9, 3];999.0;DBL
[2, 3];[10, 3];999.0;DBL
[2, 3];[11, 3];201.0;DBL
[2, 3];[12, 3];999.0;DBL
[2, 3];[13, 3];711.0;DBL
[2, 3];[14, 3];121.0;DBL
[2, 3];[1, 4];173.0;DBL
[2, 3];[2, 4];276.0;DBL
[2, 3];[3, 4];223.0;DBL
[2, 3];[4, 4];183.0;DBL
[2, 3];[5, 4];999.0;DBL
[2, 3];[6, 4];142.0;DBL
[2, 3];[7, 4];999.0;DBL
[2, 3];[8, 4];198.0;DBL
[2, 3];[9, 4];999.0;DBL
[2, 3];[10, 4];999.0;DBL
[2, 3];[11, 4];415.0;DBL
[2, 3];[12, 4];999.0;DBL
[2, 3];[13, 4];911.0;DBL
[2, 3];[14, 4];161.0;DBL
[2, 3];[1, 5];33.0;DBL
[2, 3];[2, 5];68.0;DBL
[2, 3];[3, 5];51.0;DBL
[2, 3];[4, 5];68.0;DBL
[2, 3];[5, 5];529.0;DBL
[2, 3];[6, 5];52.0;DBL
[2, 3];[7, 5];764.0;DBL
[2, 3];[8, 5];55.0;DBL
[2, 3];[9, 5];615.0;DBL
[2, 3];[10, 5];966.0;DBL
[2, 3];[11, 5];133.0;DBL
[2, 3];[12, 5];999.0;DBL
[2, 3];[13, 5];347.0;DBL
[2, 3];[14, 5];40.0;DBL
[2, 3];[1, 6];524.0;DBL
[2, 3];[2, 6];999.0;DBL
[2, 3];[3, 6];500.0;DBL
[2, 3];[4, 6];751.0;DBL
[2, 3];[5, 6];999.0;DBL
[2, 3];[6, 6];552.0;DBL
[2, 3];[7, 6];999.0;DBL
[2, 3];[8, 6];480.0;DBL
[2, 3];[9, 6];999.0;DBL
[2, 3];[10, 6];999.0;DBL
[2, 3];[11, 6];643.0;DBL
[2, 3];[12, 6];999.0;DBL
[2, 3];[13, 6];999.0;DBL
[2, 3];[14, 6];395.0;DBL
[2, 3];[1, 7];448.0;DBL
[2, 3];[2, 7];955.0;DBL
[2, 3];[3, 7];816.0;DBL
[2, 3];[4, 7];787.0;DBL
[2, 3];[5, 7];999.0;DBL
[2, 3];[6, 7];603.0;DBL
[2, 3];[7, 7];999.0;DBL
[2, 3];[8, 7];445.0;DBL
[2, 3];[9, 7];999.0;DBL
[2, 3];[10, 7];999.0;DBL
[2, 3];[11, 7];625.0;DBL
[2, 3];[12, 7];999.0;DBL
[2, 3];[13, 7];685.0;DBL
[2, 3];[14, 7];230.0;DBL
[2, 3];[1, 8];128.0;DBL
[2, 3];[2, 8];428.0;DBL
[2, 3];[3, 8];252.0;DBL
[2, 3];[4, 8];305.0;DBL
[2, 3];[5, 8];999.0;DBL
[2, 3];[6, 8];296.0;DBL
[2, 3];[7, 8];999.0;DBL
[2, 3];[8, 8];205.0;DBL
[2, 3];[9, 8];999.0;DBL
[2, 3];[10, 8];999.0;DBL
[2, 3];[11, 8];511.0;DBL
[2, 3];[12, 8];999.0;DBL
[2, 3];[13, 8];999.0;DBL
[2, 3];[14, 8];156.0;DBL
[2, 3];[1, 9];41.0;DBL
[2, 3];[2, 9];152.0;DBL
[2, 3];[3, 9];76.0;DBL
[2, 3];[4, 9];64.0;DBL
[2, 3];[5, 9];525.0;DBL
[2, 3];[6, 9];59.0;DBL
[2, 3];[7, 9];750.0;DBL
[2, 3];[8, 9];58.0;DBL
[2, 3];[9, 9];637.0;DBL
[2, 3];[10, 9];999.0;DBL
[2, 3];[11, 9];102.0;DBL
[2, 3];[12, 9];999.0;DBL
[2, 3];[13, 9];297.0;DBL
[2, 3];[14, 9];33.0;DBL
[2, 3];[1, 10];84.0;DBL
[2, 3];[2, 10];296.0;DBL
[2, 3];[3, 10];178.0;DBL
[2, 3];[4, 10];149.0;DBL
[2, 3];[5, 10];917.0;DBL
[2, 3];[6, 10];125.0;DBL
[2, 3];[7, 10];999.0;DBL
[2, 3];[8, 10];159.0;DBL
[2, 3];[9, 10];999.0;DBL
[2, 3];[10, 10];999.0;DBL
[2, 3];[11, 10];227.0;DBL
[2, 3];[12, 10];999.0;DBL
