race;horseNumber;odds;type
[8, 9];[1, 1];94.0;DBL
[8, 9];[2, 1];94.0;DBL
[8, 9];[3, 1];38.0;DBL
[8, 9];[4, 1];189.0;DBL
[8, 9];[5, 1];453.0;DBL
[8, 9];[6, 1];986.0;DBL
[8, 9];[7, 1];223.0;DBL
[8, 9];[8, 1];50.0;DBL
[8, 9];[9, 1];125.0;DBL
[8, 9];[10, 1];168.0;DBL
[8, 9];[11, 1];999.0;DBL
[8, 9];[1, 2];64.0;DBL
[8, 9];[2, 2];42.0;DBL
[8, 9];[3, 2];5.3;DBL
[8, 9];[4, 2];93.0;DBL
[8, 9];[5, 2];165.0;DBL
[8, 9];[6, 2];334.0;DBL
[8, 9];[7, 2];80.0;DBL
[8, 9];[8, 2];11.0;DBL
[8, 9];[9, 2];29.0;DBL
[8, 9];[10, 2];75.0;DBL
[8, 9];[11, 2];917.0;DBL
[8, 9];[1, 3];67.0;DBL
[8, 9];[2, 3];38.0;DBL
[8, 9];[3, 3];7.7;DBL
[8, 9];[4, 3];92.0;DBL
[8, 9];[5, 3];164.0;DBL
[8, 9];[6, 3];329.0;DBL
[8, 9];[7, 3];68.0;DBL
[8, 9];[8, 3];13.0;DBL
[8, 9];[9, 3];33.0;DBL
[8, 9];[10, 3];58.0;DBL
[8, 9];[11, 3];950.0;DBL
[8, 9];[1, 4];98.0;DBL
[8, 9];[2, 4];82.0;DBL
[8, 9];[3, 4];18.0;DBL
[8, 9];[4, 4];136.0;DBL
[8, 9];[5, 4];241.0;DBL
[8, 9];[6, 4];601.0;DBL
[8, 9];[7, 4];155.0;DBL
[8, 9];[8, 4];21.0;DBL
[8, 9];[9, 4];49.0;DBL
[8, 9];[10, 4];107.0;DBL
[8, 9];[11, 4];999.0;DBL
[8, 9];[1, 5];305.0;DBL
[8, 9];[2, 5];251.0;DBL
[8, 9];[3, 5];88.0;DBL
[8, 9];[4, 5];370.0;DBL
[8, 9];[5, 5];454.0;DBL
[8, 9];[6, 5];999.0;DBL
[8, 9];[7, 5];270.0;DBL
[8, 9];[8, 5];95.0;DBL
[8, 9];[9, 5];167.0;DBL
[8, 9];[10, 5];314.0;DBL
[8, 9];[11, 5];999.0;DBL
[8, 9];[1, 6];133.0;DBL
[8, 9];[2, 6];117.0;DBL
[8, 9];[3, 6];27.0;DBL
[8, 9];[4, 6];165.0;DBL
