race;horseNumber;odds;type
[3, 4];[1, 1];32.0;DBL
[3, 4];[2, 1];521.0;DBL
[3, 4];[3, 1];432.0;DBL
[3, 4];[4, 1];456.0;DBL
[3, 4];[5, 1];189.0;DBL
[3, 4];[6, 1];999.0;DBL
[3, 4];[7, 1];999.0;DBL
[3, 4];[8, 1];859.0;DBL
[3, 4];[9, 1];144.0;DBL
[3, 4];[10, 1];160.0;DBL
[3, 4];[11, 1];469.0;DBL
[3, 4];[12, 1];396.0;DBL
[3, 4];[13, 1];999.0;DBL
[3, 4];[14, 1];999.0;DBL
[3, 4];[1, 2];6.9;DBL
[3, 4];[2, 2];214.0;DBL
[3, 4];[3, 2];96.0;DBL
[3, 4];[4, 2];150.0;DBL
[3, 4];[5, 2];50.0;DBL
[3, 4];[6, 2];469.0;DBL
[3, 4];[7, 2];519.0;DBL
[3, 4];[8, 2];182.0;DBL
[3, 4];[9, 2];41.0;DBL
[3, 4];[10, 2];94.0;DBL
[3, 4];[11, 2];98.0;DBL
[3, 4];[12, 2];107.0;DBL
[3, 4];[13, 2];876.0;DBL
[3, 4];[14, 2];418.0;DBL
[3, 4];[1, 3];76.0;DBL
[3, 4];[2, 3];999.0;DBL
[3, 4];[3, 3];835.0;DBL
[3, 4];[4, 3];999.0;DBL
[3, 4];[5, 3];475.0;DBL
[3, 4];[6, 3];999.0;DBL
[3, 4];[7, 3];999.0;DBL
[3, 4];[8, 3];999.0;DBL
[3, 4];[9, 3];346.0;DBL
[3, 4];[10, 3];631.0;DBL
[3, 4];[11, 3];871.0;DBL
[3, 4];[12, 3];778.0;DBL
[3, 4];[13, 3];999.0;DBL
[3, 4];[14, 3];999.0;DBL
[3, 4];[1, 4];5.9;DBL
[3, 4];[2, 4];262.0;DBL
[3, 4];[3, 4];162.0;DBL
[3, 4];[4, 4];175.0;DBL
[3, 4];[5, 4];53.0;DBL
[3, 4];[6, 4];611.0;DBL
[3, 4];[7, 4];496.0;DBL
[3, 4];[8, 4];276.0;DBL
[3, 4];[9, 4];55.0;DBL
[3, 4];[10, 4];73.0;DBL
[3, 4];[11, 4];162.0;DBL
[3, 4];[12, 4];117.0;DBL
[3, 4];[13, 4];969.0;DBL
[3, 4];[14, 4];471.0;DBL
[3, 4];[1, 5];21.0;DBL
[3, 4];[2, 5];549.0;DBL
[3, 4];[3, 5];255.0;DBL
[3, 4];[4, 5];395.0;DBL
[3, 4];[5, 5];61.0;DBL
[3, 4];[6, 5];965.0;DBL
[3, 4];[7, 5];770.0;DBL
[3, 4];[8, 5];429.0;DBL
[3, 4];[9, 5];129.0;DBL
[3, 4];[10, 5];83.0;DBL
[3, 4];[11, 5];276.0;DBL
[3, 4];[12, 5];176.0;DBL
[3, 4];[13, 5];999.0;DBL
[3, 4];[14, 5];802.0;DBL
[3, 4];[1, 6];4.1;DBL
[3, 4];[2, 6];186.0;DBL
[3, 4];[3, 6];146.0;DBL
[3, 4];[4, 6];137.0;DBL
[3, 4];[5, 6];45.0;DBL
[3, 4];[6, 6];366.0;DBL
[3, 4];[7, 6];350.0;DBL
[3, 4];[8, 6];119.0;DBL
[3, 4];[9, 6];40.0;DBL
[3, 4];[10, 6];55.0;DBL
[3, 4];[11, 6];155.0;DBL
[3, 4];[12, 6];61.0;DBL
[3, 4];[13, 6];723.0;DBL
[3, 4];[14, 6];289.0;DBL
[3, 4];[1, 7];15.0;DBL
[3, 4];[2, 7];386.0;DBL
[3, 4];[3, 7];392.0;DBL
