race;horseNumber;odds;type
[3, 4];[1, 1];33.0;DBL
[3, 4];[2, 1];42.0;DBL
[3, 4];[3, 1];156.0;DBL
[3, 4];[4, 1];102.0;DBL
[3, 4];[5, 1];22.0;DBL
[3, 4];[6, 1];999.0;DBL
[3, 4];[7, 1];815.0;DBL
[3, 4];[8, 1];294.0;DBL
[3, 4];[9, 1];77.0;DBL
[3, 4];[10, 1];78.0;DBL
[3, 4];[11, 1];151.0;DBL
[3, 4];[12, 1];28.0;DBL
[3, 4];[1, 2];105.0;DBL
[3, 4];[2, 2];62.0;DBL
[3, 4];[3, 2];249.0;DBL
[3, 4];[4, 2];153.0;DBL
[3, 4];[5, 2];71.0;DBL
[3, 4];[6, 2];999.0;DBL
[3, 4];[7, 2];999.0;DBL
[3, 4];[8, 2];465.0;DBL
[3, 4];[9, 2];129.0;DBL
[3, 4];[10, 2];137.0;DBL
[3, 4];[11, 2];213.0;DBL
[3, 4];[12, 2];57.0;DBL
[3, 4];[1, 3];73.0;DBL
[3, 4];[2, 3];117.0;DBL
[3, 4];[3, 3];290.0;DBL
[3, 4];[4, 3];242.0;DBL
[3, 4];[5, 3];61.0;DBL
[3, 4];[6, 3];999.0;DBL
[3, 4];[7, 3];999.0;DBL
[3, 4];[8, 3];533.0;DBL
[3, 4];[9, 3];118.0;DBL
[3, 4];[10, 3];187.0;DBL
[3, 4];[11, 3];182.0;DBL
[3, 4];[12, 3];81.0;DBL
[3, 4];[1, 4];19.0;DBL
[3, 4];[2, 4];25.0;DBL
[3, 4];[3, 4];111.0;DBL
[3, 4];[4, 4];85.0;DBL
[3, 4];[5, 4];14.0;DBL
[3, 4];[6, 4];550.0;DBL
[3, 4];[7, 4];761.0;DBL
[3, 4];[8, 4];145.0;DBL
[3, 4];[9, 4];31.0;DBL
[3, 4];[10, 4];47.0;DBL
[3, 4];[11, 4];82.0;DBL
[3, 4];[12, 4];12.0;DBL
[3, 4];[1, 5];10.0;DBL
[3, 4];[2, 5];22.0;DBL
[3, 4];[3, 5];75.0;DBL
[3, 4];[4, 5];61.0;DBL
[3, 4];[5, 5];8.2;DBL
[3, 4];[6, 5];258.0;DBL
[3, 4];[7, 5];244.0;DBL
[3, 4];[8, 5];87.0;DBL
[3, 4];[9, 5];23.0;DBL
[3, 4];[10, 5];31.0;DBL
[3, 4];[11, 5];54.0;DBL
[3, 4];[12, 5];8.6;DBL
[3, 4];[1, 6];147.0;DBL
[3, 4];[2, 6];99.0;DBL
[3, 4];[3, 6];395.0;DBL
[3, 4];[4, 6];244.0;DBL
[3, 4];[5, 6];93.0;DBL
[3, 4];[6, 6];999.0;DBL
[3, 4];[7, 6];999.0;DBL
[3, 4];[8, 6];642.0;DBL
[3, 4];[9, 6];190.0;DBL
[3, 4];[10, 6];220.0;DBL
[3, 4];[11, 6];335.0;DBL
[3, 4];[12, 6];102.0;DBL
[3, 4];[1, 7];62.0;DBL
[3, 4];[2, 7];54.0;DBL
[3, 4];[3, 7];245.0;DBL
[3, 4];[4, 7];122.0;DBL
[3, 4];[5, 7];34.0;DBL
[3, 4];[6, 7];911.0;DBL
[3, 4];[7, 7];855.0;DBL
[3, 4];[8, 7];295.0;DBL
[3, 4];[9, 7];73.0;DBL
[3, 4];[10, 7];88.0;DBL
[3, 4];[11, 7];134.0;DBL
[3, 4];[12, 7];25.0;DBL
3;[1, 2];38.0;FCT
3;[2, 1];46.0;FCT
3;[1, 3];121.0;FCT
3;[2, 3];199.0;FCT
3;[3, 1];235.0;FCT
3;[3, 2];245.0;FCT
3;[1, 4];116.0;FCT
3;[2, 4];170.0;FCT
3;[3, 4];540.0;FCT
3;[4, 1];196.0;FCT
3;[4, 2];193.0;FCT
3;[4, 3];549.0;FCT
3;[1, 5];16.0;FCT
3;[2, 5];44.0;FCT
3;[3, 5];187.0;FCT
3;[4, 5];132.0;FCT
3;[5, 1];13.0;FCT
3;[5, 2];26.0;FCT
3;[5, 3];107.0;FCT
3;[5, 4];78.0;FCT
3;[1, 6];520.0;FCT
3;[2, 6];967.0;FCT
3;[3, 6];999.0;FCT
3;[4, 6];902.0;FCT
3;[5, 6];326.0;FCT
3;[6, 1];999.0;FCT
3;[6, 2];999.0;FCT
3;[6, 3];999.0;FCT
3;[6, 4];999.0;FCT
3;[6, 5];556.0;FCT
3;[1, 7];411.0;FCT
3;[2, 7];999.0;FCT
3;[3, 7];999.0;FCT
3;[4, 7];999.0;FCT
3;[5, 7];363.0;FCT
3;[6, 7];999.0;FCT
3;[7, 1];777.0;FCT
3;[7, 2];999.0;FCT
3;[7, 3];999.0;FCT
3;[7, 4];999.0;FCT
3;[7, 5];792.0;FCT
3;[7, 6];999.0;FCT
3;[1, 8];178.0;FCT
3;[2, 8];318.0;FCT
3;[3, 8];999.0;FCT
3;[4, 8];996.0;FCT
3;[5, 8];130.0;FCT
3;[6, 8];999.0;FCT
3;[7, 8];999.0;FCT
3;[8, 1];261.0;FCT
3;[8, 2];423.0;FCT
3;[8, 3];999.0;FCT
3;[8, 4];999.0;FCT
3;[8, 5];221.0;FCT
3;[8, 6];999.0;FCT
3;[8, 7];999.0;FCT
3;[1, 9];52.0;FCT
3;[2, 9];95.0;FCT
3;[3, 9];349.0;FCT
3;[4, 9];320.0;FCT
3;[5, 9];30.0;FCT
3;[6, 9];999.0;FCT
3;[7, 9];658.0;FCT
3;[8, 9];488.0;FCT
3;[9, 1];63.0;FCT
3;[9, 2];95.0;FCT
3;[9, 3];269.0;FCT
3;[9, 4];280.0;FCT
3;[9, 5];46.0;FCT
3;[9, 6];972.0;FCT
3;[9, 7];552.0;FCT
3;[9, 8];385.0;FCT
3;[1, 10];79.0;FCT
3;[2, 10];113.0;FCT
3;[3, 10];453.0;FCT
3;[4, 10];298.0;FCT
3;[5, 10];32.0;FCT
3;[6, 10];999.0;FCT
3;[7, 10];999.0;FCT
3;[8, 10];678.0;FCT
3;[9, 10];110.0;FCT
3;[10, 1];105.0;FCT
3;[10, 2];123.0;FCT
3;[10, 3];444.0;FCT
3;[10, 4];277.0;FCT
3;[10, 5];59.0;FCT
3;[10, 6];999.0;FCT
3;[10, 7];999.0;FCT
3;[10, 8];616.0;FCT
3;[10, 9];120.0;FCT
3;[1, 11];72.0;FCT
3;[2, 11];165.0;FCT
3;[3, 11];562.0;FCT
3;[4, 11];597.0;FCT
3;[5, 11];61.0;FCT
3;[6, 11];999.0;FCT
3;[7, 11];999.0;FCT
3;[8, 11];621.0;FCT
3;[9, 11];147.0;FCT
3;[10, 11];300.0;FCT
3;[11, 1];91.0;FCT
3;[11, 2];153.0;FCT
3;[11, 3];418.0;FCT
3;[11, 4];451.0;FCT
3;[11, 5];82.0;FCT
3;[11, 6];999.0;FCT
3;[11, 7];999.0;FCT
3;[11, 8];498.0;FCT
3;[11, 9];159.0;FCT
3;[11, 10];278.0;FCT
3;[1, 12];20.0;FCT
3;[2, 12];45.0;FCT
3;[3, 12];172.0;FCT
3;[4, 12];162.0;FCT
3;[5, 12];16.0;FCT
3;[6, 12];769.0;FCT
3;[7, 12];553.0;FCT
3;[8, 12];181.0;FCT
3;[9, 12];44.0;FCT
3;[10, 12];79.0;FCT
3;[11, 12];58.0;FCT
3;[12, 1];16.0;FCT
3;[12, 2];27.0;FCT
3;[12, 3];80.0;FCT
3;[12, 4];75.0;FCT
3;[12, 5];14.0;FCT
3;[12, 6];335.0;FCT
3;[12, 7];353.0;FCT
3;[12, 8];95.0;FCT
3;[12, 9];27.0;FCT
3;[12, 10];46.0;FCT
3;[12, 11];38.0;FCT
3;[1, 2, 3, 4];248.0;FF
3;[1, 2, 3, 5];59.0;FF
3;[1, 2, 4, 5];54.0;FF
3;[1, 3, 4, 5];176.0;FF
3;[2, 3, 4, 5];272.0;FF
3;[1, 2, 3, 6];999.0;FF
3;[1, 2, 4, 6];999.0;FF
3;[1, 3, 4, 6];999.0;FF
3;[2, 3, 4, 6];999.0;FF
3;[1, 2, 5, 6];322.0;FF
3;[1, 3, 5, 6];910.0;FF
3;[2, 3, 5, 6];999.0;FF
3;[1, 4, 5, 6];832.0;FF
3;[2, 4, 5, 6];999.0;FF
3;[3, 4, 5, 6];999.0;FF
3;[1, 2, 3, 7];999.0;FF
3;[1, 2, 4, 7];674.0;FF
3;[1, 3, 4, 7];999.0;FF
3;[2, 3, 4, 7];999.0;FF
3;[1, 2, 5, 7];277.0;FF
3;[1, 3, 5, 7];670.0;FF
