race;horseNumber;odds;type
[6, 7];[1, 1];10.0;DBL
[6, 7];[2, 1];28.0;DBL
[6, 7];[3, 1];37.0;DBL
[6, 7];[4, 1];18.0;DBL
[6, 7];[5, 1];30.0;DBL
[6, 7];[6, 1];7.0;DBL
[6, 7];[7, 1];21.0;DBL
[6, 7];[8, 1];116.0;DBL
[6, 7];[9, 1];6.4;DBL
[6, 7];[10, 1];120.0;DBL
[6, 7];[11, 1];33.0;DBL
[6, 7];[1, 2];165.0;DBL
[6, 7];[2, 2];343.0;DBL
[6, 7];[3, 2];413.0;DBL
[6, 7];[4, 2];170.0;DBL
[6, 7];[5, 2];272.0;DBL
[6, 7];[6, 2];112.0;DBL
[6, 7];[7, 2];154.0;DBL
[6, 7];[8, 2];884.0;DBL
[6, 7];[9, 2];102.0;DBL
[6, 7];[10, 2];999.0;DBL
[6, 7];[11, 2];416.0;DBL
[6, 7];[1, 3];90.0;DBL
[6, 7];[2, 3];199.0;DBL
[6, 7];[3, 3];209.0;DBL
[6, 7];[4, 3];114.0;DBL
[6, 7];[5, 3];171.0;DBL
[6, 7];[6, 3];53.0;DBL
[6, 7];[7, 3];114.0;DBL
[6, 7];[8, 3];786.0;DBL
[6, 7];[9, 3];50.0;DBL
[6, 7];[10, 3];739.0;DBL
[6, 7];[11, 3];167.0;DBL
[6, 7];[1, 4];73.0;DBL
[6, 7];[2, 4];128.0;DBL
[6, 7];[3, 4];127.0;DBL
[6, 7];[4, 4];55.0;DBL
[6, 7];[5, 4];97.0;DBL
[6, 7];[6, 4];29.0;DBL
[6, 7];[7, 4];70.0;DBL
[6, 7];[8, 4];337.0;DBL
[6, 7];[9, 4];23.0;DBL
[6, 7];[10, 4];391.0;DBL
[6, 7];[11, 4];95.0;DBL
[6, 7];[1, 5];247.0;DBL
[6, 7];[2, 5];563.0;DBL
[6, 7];[3, 5];529.0;DBL
[6, 7];[4, 5];338.0;DBL
[6, 7];[5, 5];518.0;DBL
[6, 7];[6, 5];159.0;DBL
[6, 7];[7, 5];357.0;DBL
[6, 7];[8, 5];999.0;DBL
[6, 7];[9, 5];106.0;DBL
[6, 7];[10, 5];999.0;DBL
[6, 7];[11, 5];402.0;DBL
[6, 7];[1, 6];268.0;DBL
[6, 7];[2, 6];473.0;DBL
