race;horseNumber;odds;type
[5, 6];[1, 1];80.0;DBL
[5, 6];[2, 1];17.0;DBL
[5, 6];[3, 1];55.0;DBL
[5, 6];[4, 1];31.0;DBL
[5, 6];[5, 1];99.0;DBL
[5, 6];[6, 1];10.0;DBL
[5, 6];[7, 1];250.0;DBL
[5, 6];[8, 1];36.0;DBL
[5, 6];[9, 1];43.0;DBL
[5, 6];[10, 1];47.0;DBL
[5, 6];[11, 1];232.0;DBL
[5, 6];[12, 1];45.0;DBL
[5, 6];[1, 2];159.0;DBL
[5, 6];[2, 2];49.0;DBL
[5, 6];[3, 2];121.0;DBL
[5, 6];[4, 2];89.0;DBL
[5, 6];[5, 2];163.0;DBL
[5, 6];[6, 2];41.0;DBL
[5, 6];[7, 2];613.0;DBL
[5, 6];[8, 2];117.0;DBL
[5, 6];[9, 2];86.0;DBL
[5, 6];[10, 2];107.0;DBL
[5, 6];[11, 2];489.0;DBL
[5, 6];[12, 2];107.0;DBL
[5, 6];[1, 3];457.0;DBL
[5, 6];[2, 3];176.0;DBL
[5, 6];[3, 3];299.0;DBL
[5, 6];[4, 3];276.0;DBL
[5, 6];[5, 3];594.0;DBL
[5, 6];[6, 3];119.0;DBL
[5, 6];[7, 3];999.0;DBL
[5, 6];[8, 3];262.0;DBL
[5, 6];[9, 3];241.0;DBL
[5, 6];[10, 3];316.0;DBL
[5, 6];[11, 3];965.0;DBL
[5, 6];[12, 3];265.0;DBL
[5, 6];[1, 4];388.0;DBL
[5, 6];[2, 4];108.0;DBL
[5, 6];[3, 4];305.0;DBL
[5, 6];[4, 4];141.0;DBL
[5, 6];[5, 4];232.0;DBL
[5, 6];[6, 4];72.0;DBL
[5, 6];[7, 4];664.0;DBL
[5, 6];[8, 4];222.0;DBL
[5, 6];[9, 4];242.0;DBL
[5, 6];[10, 4];283.0;DBL
[5, 6];[11, 4];925.0;DBL
[5, 6];[12, 4];130.0;DBL
[5, 6];[1, 5];228.0;DBL
[5, 6];[2, 5];51.0;DBL
[5, 6];[3, 5];117.0;DBL
[5, 6];[4, 5];120.0;DBL
[5, 6];[5, 5];165.0;DBL
[5, 6];[6, 5];40.0;DBL
[5, 6];[7, 5];431.0;DBL
[5, 6];[8, 5];104.0;DBL
[5, 6];[9, 5];100.0;DBL
[5, 6];[10, 5];103.0;DBL
[5, 6];[11, 5];575.0;DBL
[5, 6];[12, 5];92.0;DBL
[5, 6];[1, 6];184.0;DBL
[5, 6];[2, 6];33.0;DBL
[5, 6];[3, 6];99.0;DBL
[5, 6];[4, 6];71.0;DBL
[5, 6];[5, 6];142.0;DBL
[5, 6];[6, 6];29.0;DBL
[5, 6];[7, 6];434.0;DBL
[5, 6];[8, 6];71.0;DBL
[5, 6];[9, 6];88.0;DBL
[5, 6];[10, 6];65.0;DBL
[5, 6];[11, 6];575.0;DBL
[5, 6];[12, 6];60.0;DBL
[5, 6];[1, 7];189.0;DBL
[5, 6];[2, 7];65.0;DBL
[5, 6];[3, 7];126.0;DBL
[5, 6];[4, 7];88.0;DBL
[5, 6];[5, 7];345.0;DBL
[5, 6];[6, 7];33.0;DBL
[5, 6];[7, 7];514.0;DBL
[5, 6];[8, 7];122.0;DBL
[5, 6];[9, 7];111.0;DBL
[5, 6];[10, 7];163.0;DBL
[5, 6];[11, 7];567.0;DBL
[5, 6];[12, 7];155.0;DBL
[5, 6];[1, 8];543.0;DBL
[5, 6];[2, 8];344.0;DBL
[5, 6];[3, 8];602.0;DBL
[5, 6];[4, 8];713.0;DBL
[5, 6];[5, 8];967.0;DBL
[5, 6];[6, 8];232.0;DBL
[5, 6];[7, 8];999.0;DBL
[5, 6];[8, 8];553.0;DBL
[5, 6];[9, 8];558.0;DBL
[5, 6];[10, 8];601.0;DBL
[5, 6];[11, 8];999.0;DBL
[5, 6];[12, 8];593.0;DBL
[5, 6];[1, 9];221.0;DBL
[5, 6];[2, 9];58.0;DBL
[5, 6];[3, 9];133.0;DBL
[5, 6];[4, 9];104.0;DBL
[5, 6];[5, 9];173.0;DBL
[5, 6];[6, 9];40.0;DBL
[5, 6];[7, 9];438.0;DBL
[5, 6];[8, 9];110.0;DBL
[5, 6];[9, 9];103.0;DBL
[5, 6];[10, 9];118.0;DBL
[5, 6];[11, 9];560.0;DBL
[5, 6];[12, 9];70.0;DBL
[5, 6];[1, 10];134.0;DBL
[5, 6];[2, 10];19.0;DBL
[5, 6];[3, 10];69.0;DBL
[5, 6];[4, 10];58.0;DBL
[5, 6];[5, 10];142.0;DBL
[5, 6];[6, 10];14.0;DBL
[5, 6];[7, 10];238.0;DBL
[5, 6];[8, 10];45.0;DBL
[5, 6];[9, 10];49.0;DBL
[5, 6];[10, 10];59.0;DBL
[5, 6];[11, 10];249.0;DBL
[5, 6];[12, 10];54.0;DBL
[5, 6];[1, 11];658.0;DBL
[5, 6];[2, 11];223.0;DBL
[5, 6];[3, 11];409.0;DBL
[5, 6];[4, 11];309.0;DBL
[5, 6];[5, 11];500.0;DBL
[5, 6];[6, 11];152.0;DBL
[5, 6];[7, 11];939.0;DBL
[5, 6];[8, 11];314.0;DBL
[5, 6];[9, 11];382.0;DBL
[5, 6];[10, 11];414.0;DBL
[5, 6];[11, 11];978.0;DBL
[5, 6];[12, 11];332.0;DBL
[5, 6];[1, 12];367.0;DBL
[5, 6];[2, 12];105.0;DBL
[5, 6];[3, 12];195.0;DBL
[5, 6];[4, 12];106.0;DBL
[5, 6];[5, 12];365.0;DBL
[5, 6];[6, 12];78.0;DBL
[5, 6];[7, 12];657.0;DBL
[5, 6];[8, 12];98.0;DBL
[5, 6];[9, 12];121.0;DBL
[5, 6];[10, 12];187.0;DBL
[5, 6];[11, 12];741.0;DBL
[5, 6];[12, 12];160.0;DBL
5;[1, 2];122.0;FCT
5;[2, 1];93.0;FCT
5;[1, 3];245.0;FCT
5;[2, 3];60.0;FCT
5;[3, 1];231.0;FCT
