race;horseNumber;odds;type
[6, 7];[1, 1];10.0;DBL
[6, 7];[2, 1];48.0;DBL
[6, 7];[3, 1];152.0;DBL
[6, 7];[4, 1];90.0;DBL
[6, 7];[5, 1];54.0;DBL
[6, 7];[6, 1];27.0;DBL
[6, 7];[7, 1];58.0;DBL
[6, 7];[8, 1];348.0;DBL
[6, 7];[9, 1];52.0;DBL
[6, 7];[10, 1];20.0;DBL
[6, 7];[11, 1];334.0;DBL
[6, 7];[12, 1];110.0;DBL
[6, 7];[1, 2];157.0;DBL
[6, 7];[2, 2];288.0;DBL
[6, 7];[3, 2];462.0;DBL
[6, 7];[4, 2];748.0;DBL
[6, 7];[5, 2];407.0;DBL
[6, 7];[6, 2];308.0;DBL
[6, 7];[7, 2];307.0;DBL
[6, 7];[8, 2];999.0;DBL
[6, 7];[9, 2];471.0;DBL
[6, 7];[10, 2];152.0;DBL
[6, 7];[11, 2];999.0;DBL
[6, 7];[12, 2];643.0;DBL
[6, 7];[1, 3];48.0;DBL
[6, 7];[2, 3];113.0;DBL
[6, 7];[3, 3];281.0;DBL
[6, 7];[4, 3];216.0;DBL
[6, 7];[5, 3];132.0;DBL
[6, 7];[6, 3];102.0;DBL
[6, 7];[7, 3];78.0;DBL
[6, 7];[8, 3];738.0;DBL
[6, 7];[9, 3];128.0;DBL
[6, 7];[10, 3];68.0;DBL
[6, 7];[11, 3];466.0;DBL
[6, 7];[12, 3];238.0;DBL
[6, 7];[1, 4];0.0;DBL
[6, 7];[2, 4];0.0;DBL
[6, 7];[3, 4];0.0;DBL
[6, 7];[4, 4];0.0;DBL
[6, 7];[5, 4];0.0;DBL
[6, 7];[6, 4];0.0;DBL
[6, 7];[7, 4];0.0;DBL
[6, 7];[8, 4];0.0;DBL
[6, 7];[9, 4];0.0;DBL
[6, 7];[10, 4];0.0;DBL
[6, 7];[11, 4];0.0;DBL
[6, 7];[12, 4];0.0;DBL
[6, 7];[1, 5];13.0;DBL
[6, 7];[2, 5];47.0;DBL
[6, 7];[3, 5];156.0;DBL
[6, 7];[4, 5];132.0;DBL
[6, 7];[5, 5];63.0;DBL
[6, 7];[6, 5];33.0;DBL
[6, 7];[7, 5];77.0;DBL
[6, 7];[8, 5];390.0;DBL
[6, 7];[9, 5];63.0;DBL
[6, 7];[10, 5];22.0;DBL
[6, 7];[11, 5];271.0;DBL
[6, 7];[12, 5];114.0;DBL
[6, 7];[1, 6];65.0;DBL
[6, 7];[2, 6];139.0;DBL
[6, 7];[3, 6];434.0;DBL
[6, 7];[4, 6];171.0;DBL
[6, 7];[5, 6];131.0;DBL
[6, 7];[6, 6];97.0;DBL
[6, 7];[7, 6];226.0;DBL
[6, 7];[8, 6];769.0;DBL
[6, 7];[9, 6];172.0;DBL
[6, 7];[10, 6];76.0;DBL
[6, 7];[11, 6];783.0;DBL
[6, 7];[12, 6];337.0;DBL
[6, 7];[1, 7];14.0;DBL
[6, 7];[2, 7];53.0;DBL
[6, 7];[3, 7];189.0;DBL
[6, 7];[4, 7];76.0;DBL
[6, 7];[5, 7];58.0;DBL
[6, 7];[6, 7];23.0;DBL
[6, 7];[7, 7];93.0;DBL
[6, 7];[8, 7];548.0;DBL
[6, 7];[9, 7];58.0;DBL
[6, 7];[10, 7];22.0;DBL
[6, 7];[11, 7];332.0;DBL
