race;horseNumber;odds;type
[6, 7];[1, 1];90.0;DBL
[6, 7];[2, 1];947.0;DBL
[6, 7];[3, 1];262.0;DBL
[6, 7];[4, 1];170.0;DBL
[6, 7];[5, 1];119.0;DBL
[6, 7];[6, 1];999.0;DBL
[6, 7];[7, 1];258.0;DBL
[6, 7];[8, 1];73.0;DBL
[6, 7];[9, 1];118.0;DBL
[6, 7];[10, 1];412.0;DBL
[6, 7];[11, 1];189.0;DBL
[6, 7];[12, 1];363.0;DBL
[6, 7];[1, 2];38.0;DBL
[6, 7];[2, 2];675.0;DBL
[6, 7];[3, 2];89.0;DBL
[6, 7];[4, 2];66.0;DBL
[6, 7];[5, 2];83.0;DBL
[6, 7];[6, 2];477.0;DBL
[6, 7];[7, 2];199.0;DBL
[6, 7];[8, 2];42.0;DBL
[6, 7];[9, 2];88.0;DBL
[6, 7];[10, 2];290.0;DBL
[6, 7];[11, 2];141.0;DBL
[6, 7];[12, 2];206.0;DBL
[6, 7];[1, 3];58.0;DBL
[6, 7];[2, 3];846.0;DBL
[6, 7];[3, 3];76.0;DBL
[6, 7];[4, 3];73.0;DBL
[6, 7];[5, 3];64.0;DBL
[6, 7];[6, 3];562.0;DBL
[6, 7];[7, 3];165.0;DBL
[6, 7];[8, 3];20.0;DBL
[6, 7];[9, 3];62.0;DBL
[6, 7];[10, 3];312.0;DBL
[6, 7];[11, 3];88.0;DBL
[6, 7];[12, 3];150.0;DBL
[6, 7];[1, 4];78.0;DBL
[6, 7];[2, 4];999.0;DBL
[6, 7];[3, 4];71.0;DBL
[6, 7];[4, 4];111.0;DBL
[6, 7];[5, 4];100.0;DBL
[6, 7];[6, 4];811.0;DBL
[6, 7];[7, 4];188.0;DBL
[6, 7];[8, 4];35.0;DBL
[6, 7];[9, 4];74.0;DBL
[6, 7];[10, 4];414.0;DBL
[6, 7];[11, 4];133.0;DBL
[6, 7];[12, 4];245.0;DBL
[6, 7];[1, 5];105.0;DBL
[6, 7];[2, 5];999.0;DBL
[6, 7];[3, 5];269.0;DBL
[6, 7];[4, 5];179.0;DBL
[6, 7];[5, 5];101.0;DBL
[6, 7];[6, 5];999.0;DBL
[6, 7];[7, 5];166.0;DBL
[6, 7];[8, 5];56.0;DBL
[6, 7];[9, 5];125.0;DBL
[6, 7];[10, 5];603.0;DBL
[6, 7];[11, 5];184.0;DBL
[6, 7];[12, 5];283.0;DBL
[6, 7];[1, 6];28.0;DBL
[6, 7];[2, 6];261.0;DBL
[6, 7];[3, 6];46.0;DBL
[6, 7];[4, 6];45.0;DBL
[6, 7];[5, 6];37.0;DBL
[6, 7];[6, 6];402.0;DBL
[6, 7];[7, 6];107.0;DBL
[6, 7];[8, 6];17.0;DBL
[6, 7];[9, 6];28.0;DBL
[6, 7];[10, 6];231.0;DBL
[6, 7];[11, 6];53.0;DBL
[6, 7];[12, 6];129.0;DBL
[6, 7];[1, 7];22.0;DBL
[6, 7];[2, 7];382.0;DBL
[6, 7];[3, 7];55.0;DBL
[6, 7];[4, 7];35.0;DBL
[6, 7];[5, 7];33.0;DBL
[6, 7];[6, 7];277.0;DBL
[6, 7];[7, 7];75.0;DBL
[6, 7];[8, 7];10.0;DBL
[6, 7];[9, 7];26.0;DBL
[6, 7];[10, 7];185.0;DBL
[6, 7];[11, 7];38.0;DBL
[6, 7];[12, 7];69.0;DBL
[6, 7];[1, 8];282.0;DBL
[6, 7];[2, 8];999.0;DBL
[6, 7];[3, 8];494.0;DBL
[6, 7];[4, 8];330.0;DBL
[6, 7];[5, 8];263.0;DBL
[6, 7];[6, 8];874.0;DBL
[6, 7];[7, 8];692.0;DBL
[6, 7];[8, 8];117.0;DBL
[6, 7];[9, 8];266.0;DBL
[6, 7];[10, 8];627.0;DBL
[6, 7];[11, 8];391.0;DBL
[6, 7];[12, 8];669.0;DBL
[6, 7];[1, 9];992.0;DBL
[6, 7];[2, 9];999.0;DBL
[6, 7];[3, 9];999.0;DBL
[6, 7];[4, 9];982.0;DBL
[6, 7];[5, 9];977.0;DBL
[6, 7];[6, 9];999.0;DBL
[6, 7];[7, 9];999.0;DBL
[6, 7];[8, 9];376.0;DBL
[6, 7];[9, 9];864.0;DBL
[6, 7];[10, 9];999.0;DBL
[6, 7];[11, 9];993.0;DBL
[6, 7];[12, 9];999.0;DBL
[6, 7];[1, 10];42.0;DBL
[6, 7];[2, 10];682.0;DBL
[6, 7];[3, 10];57.0;DBL
[6, 7];[4, 10];48.0;DBL
[6, 7];[5, 10];49.0;DBL
[6, 7];[6, 10];497.0;DBL
[6, 7];[7, 10];87.0;DBL
[6, 7];[8, 10];25.0;DBL
[6, 7];[9, 10];32.0;DBL
[6, 7];[10, 10];249.0;DBL
[6, 7];[11, 10];67.0;DBL
[6, 7];[12, 10];147.0;DBL
[6, 7];[1, 11];112.0;DBL
[6, 7];[2, 11];999.0;DBL
[6, 7];[3, 11];158.0;DBL
[6, 7];[4, 11];132.0;DBL
[6, 7];[5, 11];122.0;DBL
[6, 7];[6, 11];736.0;DBL
[6, 7];[7, 11];311.0;DBL
[6, 7];[8, 11];63.0;DBL
