race;horseNumber;odds;type
[4, 5];[1, 1];27.0;DBL
[4, 5];[2, 1];6.0;DBL
[4, 5];[3, 1];27.0;DBL
[4, 5];[4, 1];5.7;DBL
[4, 5];[5, 1];17.0;DBL
[4, 5];[6, 1];3.6;DBL
[4, 5];[7, 1];13.0;DBL
[4, 5];[8, 1];24.0;DBL
[4, 5];[9, 1];36.0;DBL
[4, 5];[10, 1];6.8;DBL
[4, 5];[1, 2];158.0;DBL
[4, 5];[2, 2];52.0;DBL
[4, 5];[3, 2];169.0;DBL
[4, 5];[4, 2];47.0;DBL
[4, 5];[5, 2];95.0;DBL
[4, 5];[6, 2];39.0;DBL
[4, 5];[7, 2];50.0;DBL
[4, 5];[8, 2];164.0;DBL
[4, 5];[9, 2];251.0;DBL
[4, 5];[10, 2];60.0;DBL
[4, 5];[1, 3];185.0;DBL
[4, 5];[2, 3];96.0;DBL
[4, 5];[3, 3];225.0;DBL
[4, 5];[4, 3];87.0;DBL
[4, 5];[5, 3];130.0;DBL
[4, 5];[6, 3];79.0;DBL
[4, 5];[7, 3];155.0;DBL
[4, 5];[8, 3];265.0;DBL
[4, 5];[9, 3];474.0;DBL
[4, 5];[10, 3];123.0;DBL
[4, 5];[1, 4];680.0;DBL
[4, 5];[2, 4];405.0;DBL
[4, 5];[3, 4];999.0;DBL
[4, 5];[4, 4];383.0;DBL
[4, 5];[5, 4];858.0;DBL
[4, 5];[6, 4];416.0;DBL
[4, 5];[7, 4];905.0;DBL
[4, 5];[8, 4];826.0;DBL
[4, 5];[9, 4];999.0;DBL
[4, 5];[10, 4];608.0;DBL
[4, 5];[1, 5];999.0;DBL
[4, 5];[2, 5];529.0;DBL
[4, 5];[3, 5];999.0;DBL
[4, 5];[4, 5];614.0;DBL
[4, 5];[5, 5];874.0;DBL
[4, 5];[6, 5];359.0;DBL
[4, 5];[7, 5];877.0;DBL
[4, 5];[8, 5];999.0;DBL
[4, 5];[9, 5];999.0;DBL
[4, 5];[10, 5];722.0;DBL
[4, 5];[1, 6];337.0;DBL
[4, 5];[2, 6];102.0;DBL
[4, 5];[3, 6];374.0;DBL
[4, 5];[4, 6];112.0;DBL
[4, 5];[5, 6];275.0;DBL
[4, 5];[6, 6];97.0;DBL
[4, 5];[7, 6];245.0;DBL
[4, 5];[8, 6];356.0;DBL
[4, 5];[9, 6];470.0;DBL
[4, 5];[10, 6];129.0;DBL
[4, 5];[1, 7];733.0;DBL
[4, 5];[2, 7];332.0;DBL
[4, 5];[3, 7];999.0;DBL
[4, 5];[4, 7];363.0;DBL
[4, 5];[5, 7];657.0;DBL
[4, 5];[6, 7];267.0;DBL
[4, 5];[7, 7];480.0;DBL
[4, 5];[8, 7];822.0;DBL
[4, 5];[9, 7];999.0;DBL
[4, 5];[10, 7];444.0;DBL
[4, 5];[1, 8];999.0;DBL
[4, 5];[2, 8];999.0;DBL
[4, 5];[3, 8];999.0;DBL
[4, 5];[4, 8];799.0;DBL
[4, 5];[5, 8];999.0;DBL
[4, 5];[6, 8];571.0;DBL
[4, 5];[7, 8];999.0;DBL
[4, 5];[8, 8];999.0;DBL
[4, 5];[9, 8];999.0;DBL
[4, 5];[10, 8];999.0;DBL
[4, 5];[1, 9];687.0;DBL
[4, 5];[2, 9];247.0;DBL
[4, 5];[3, 9];675.0;DBL
[4, 5];[4, 9];279.0;DBL
[4, 5];[5, 9];393.0;DBL
[4, 5];[6, 9];233.0;DBL
[4, 5];[7, 9];463.0;DBL
[4, 5];[8, 9];764.0;DBL
[4, 5];[9, 9];999.0;DBL
[4, 5];[10, 9];319.0;DBL
[4, 5];[1, 10];895.0;DBL
[4, 5];[2, 10];561.0;DBL
[4, 5];[3, 10];999.0;DBL
[4, 5];[4, 10];613.0;DBL
[4, 5];[5, 10];999.0;DBL
[4, 5];[6, 10];473.0;DBL
[4, 5];[7, 10];999.0;DBL
[4, 5];[8, 10];999.0;DBL
[4, 5];[9, 10];999.0;DBL
[4, 5];[10, 10];791.0;DBL
[4, 5];[1, 11];999.0;DBL
[4, 5];[2, 11];999.0;DBL
[4, 5];[3, 11];999.0;DBL
[4, 5];[4, 11];999.0;DBL
[4, 5];[5, 11];999.0;DBL
[4, 5];[6, 11];884.0;DBL
[4, 5];[7, 11];999.0;DBL
[4, 5];[8, 11];999.0;DBL
[4, 5];[9, 11];999.0;DBL
[4, 5];[10, 11];999.0;DBL
[4, 5];[1, 12];999.0;DBL
[4, 5];[2, 12];946.0;DBL
[4, 5];[3, 12];999.0;DBL
[4, 5];[4, 12];999.0;DBL
[4, 5];[5, 12];999.0;DBL
[4, 5];[6, 12];653.0;DBL
[4, 5];[7, 12];999.0;DBL
[4, 5];[8, 12];999.0;DBL
[4, 5];[9, 12];999.0;DBL
[4, 5];[10, 12];999.0;DBL
[4, 5];[1, 13];708.0;DBL
[4, 5];[2, 13];325.0;DBL
[4, 5];[3, 13];932.0;DBL
[4, 5];[4, 13];385.0;DBL
[4, 5];[5, 13];646.0;DBL
[4, 5];[6, 13];230.0;DBL
[4, 5];[7, 13];570.0;DBL
[4, 5];[8, 13];890.0;DBL
[4, 5];[9, 13];999.0;DBL
[4, 5];[10, 13];424.0;DBL
[5, 6];[1, 1];23.0;DBL
[5, 6];[2, 1];274.0;DBL
[5, 6];[3, 1];420.0;DBL
[5, 6];[4, 1];999.0;DBL
[5, 6];[5, 1];999.0;DBL
[5, 6];[6, 1];935.0;DBL
[5, 6];[7, 1];999.0;DBL
[5, 6];[8, 1];999.0;DBL
[5, 6];[9, 1];999.0;DBL
[5, 6];[10, 1];999.0;DBL
[5, 6];[11, 1];999.0;DBL
[5, 6];[12, 1];999.0;DBL
[5, 6];[13, 1];999.0;DBL
[5, 6];[1, 2];25.0;DBL
[5, 6];[2, 2];364.0;DBL
[5, 6];[3, 2];540.0;DBL
[5, 6];[4, 2];999.0;DBL
[5, 6];[5, 2];999.0;DBL
[5, 6];[6, 2];736.0;DBL
[5, 6];[7, 2];999.0;DBL
[5, 6];[8, 2];999.0;DBL
[5, 6];[9, 2];999.0;DBL
[5, 6];[10, 2];999.0;DBL
[5, 6];[11, 2];999.0;DBL
[5, 6];[12, 2];999.0;DBL
[5, 6];[13, 2];999.0;DBL
[5, 6];[1, 3];4.0;DBL
[5, 6];[2, 3];95.0;DBL
[5, 6];[3, 3];161.0;DBL
[5, 6];[4, 3];789.0;DBL
[5, 6];[5, 3];999.0;DBL
[5, 6];[6, 3];259.0;DBL
[5, 6];[7, 3];532.0;DBL
[5, 6];[8, 3];999.0;DBL
[5, 6];[9, 3];606.0;DBL
[5, 6];[10, 3];999.0;DBL
[5, 6];[11, 3];999.0;DBL
[5, 6];[12, 3];999.0;DBL
[5, 6];[13, 3];442.0;DBL
[5, 6];[1, 4];2.7;DBL
[5, 6];[2, 4];53.0;DBL
[5, 6];[3, 4];122.0;DBL
[5, 6];[4, 4];481.0;DBL
[5, 6];[5, 4];546.0;DBL
[5, 6];[6, 4];149.0;DBL
[5, 6];[7, 4];341.0;DBL
[5, 6];[8, 4];999.0;DBL
[5, 6];[9, 4];337.0;DBL
[5, 6];[10, 4];597.0;DBL
[5, 6];[11, 4];999.0;DBL
[5, 6];[12, 4];999.0;DBL
[5, 6];[13, 4];258.0;DBL
[5, 6];[1, 5];11.0;DBL
[5, 6];[2, 5];144.0;DBL
[5, 6];[3, 5];200.0;DBL
[5, 6];[4, 5];999.0;DBL
[5, 6];[5, 5];999.0;DBL
[5, 6];[6, 5];411.0;DBL
[5, 6];[7, 5];698.0;DBL
[5, 6];[8, 5];999.0;DBL
[5, 6];[9, 5];859.0;DBL
[5, 6];[10, 5];999.0;DBL
[5, 6];[11, 5];999.0;DBL
[5, 6];[12, 5];999.0;DBL
[5, 6];[13, 5];528.0;DBL
[5, 6];[1, 6];45.0;DBL
[5, 6];[2, 6];481.0;DBL
[5, 6];[3, 6];999.0;DBL
[5, 6];[4, 6];999.0;DBL
[5, 6];[5, 6];999.0;DBL
[5, 6];[6, 6];999.0;DBL
[5, 6];[7, 6];999.0;DBL
[5, 6];[8, 6];999.0;DBL
[5, 6];[9, 6];999.0;DBL
[5, 6];[10, 6];999.0;DBL
[5, 6];[11, 6];999.0;DBL
[5, 6];[12, 6];999.0;DBL
[5, 6];[13, 6];999.0;DBL
[5, 6];[1, 7];15.0;DBL
[5, 6];[2, 7];212.0;DBL
[5, 6];[3, 7];353.0;DBL
[5, 6];[4, 7];999.0;DBL
[5, 6];[5, 7];999.0;DBL
[5, 6];[6, 7];569.0;DBL
[5, 6];[7, 7];949.0;DBL
[5, 6];[8, 7];999.0;DBL
[5, 6];[9, 7];895.0;DBL
[5, 6];[10, 7];999.0;DBL
[5, 6];[11, 7];999.0;DBL
[5, 6];[12, 7];999.0;DBL
[5, 6];[13, 7];473.0;DBL
[5, 6];[1, 8];111.0;DBL
[5, 6];[2, 8];999.0;DBL
[5, 6];[3, 8];999.0;DBL
[5, 6];[4, 8];999.0;DBL
[5, 6];[5, 8];999.0;DBL
[5, 6];[6, 8];999.0;DBL
[5, 6];[7, 8];999.0;DBL
[5, 6];[8, 8];999.0;DBL
[5, 6];[9, 8];999.0;DBL
[5, 6];[10, 8];999.0;DBL
[5, 6];[11, 8];999.0;DBL
[5, 6];[12, 8];999.0;DBL
[5, 6];[13, 8];999.0;DBL
[5, 6];[1, 9];3.4;DBL
[5, 6];[2, 9];52.0;DBL
[5, 6];[3, 9];123.0;DBL
[5, 6];[4, 9];534.0;DBL
[5, 6];[5, 9];514.0;DBL
[5, 6];[6, 9];157.0;DBL
[5, 6];[7, 9];355.0;DBL
[5, 6];[8, 9];999.0;DBL
[5, 6];[9, 9];325.0;DBL
[5, 6];[10, 9];589.0;DBL
[5, 6];[11, 9];999.0;DBL
[5, 6];[12, 9];999.0;DBL
[5, 6];[13, 9];202.0;DBL
[5, 6];[1, 10];80.0;DBL
[5, 6];[2, 10];999.0;DBL
[5, 6];[3, 10];999.0;DBL
[5, 6];[4, 10];999.0;DBL
[5, 6];[5, 10];999.0;DBL
[5, 6];[6, 10];999.0;DBL
[5, 6];[7, 10];999.0;DBL
[5, 6];[8, 10];999.0;DBL
[5, 6];[9, 10];999.0;DBL
[5, 6];[10, 10];999.0;DBL
[5, 6];[11, 10];999.0;DBL
[5, 6];[12, 10];999.0;DBL
[5, 6];[13, 10];999.0;DBL
[5, 6];[1, 11];40.0;DBL
[5, 6];[2, 11];456.0;DBL
[5, 6];[3, 11];717.0;DBL
[5, 6];[4, 11];999.0;DBL
[5, 6];[5, 11];999.0;DBL
