race;horseNumber;odds;type
[8, 9];[1, 1];64.0;DBL
[8, 9];[2, 1];533.0;DBL
[8, 9];[3, 1];999.0;DBL
[8, 9];[4, 1];217.0;DBL
[8, 9];[5, 1];999.0;DBL
[8, 9];[6, 1];204.0;DBL
[8, 9];[7, 1];167.0;DBL
[8, 9];[8, 1];201.0;DBL
[8, 9];[9, 1];224.0;DBL
[8, 9];[10, 1];236.0;DBL
[8, 9];[11, 1];999.0;DBL
[8, 9];[12, 1];501.0;DBL
[8, 9];[13, 1];217.0;DBL
[8, 9];[14, 1];184.0;DBL
[8, 9];[1, 2];7.4;DBL
[8, 9];[2, 2];83.0;DBL
[8, 9];[3, 2];96.0;DBL
[8, 9];[4, 2];33.0;DBL
[8, 9];[5, 2];164.0;DBL
[8, 9];[6, 2];23.0;DBL
[8, 9];[7, 2];25.0;DBL
[8, 9];[8, 2];26.0;DBL
[8, 9];[9, 2];51.0;DBL
[8, 9];[10, 2];34.0;DBL
[8, 9];[11, 2];207.0;DBL
[8, 9];[12, 2];117.0;DBL
[8, 9];[13, 2];42.0;DBL
[8, 9];[14, 2];25.0;DBL
[8, 9];[1, 3];118.0;DBL
[8, 9];[2, 3];506.0;DBL
[8, 9];[3, 3];999.0;DBL
[8, 9];[4, 3];411.0;DBL
[8, 9];[5, 3];999.0;DBL
[8, 9];[6, 3];318.0;DBL
[8, 9];[7, 3];297.0;DBL
[8, 9];[8, 3];397.0;DBL
[8, 9];[9, 3];497.0;DBL
[8, 9];[10, 3];415.0;DBL
[8, 9];[11, 3];999.0;DBL
[8, 9];[12, 3];999.0;DBL
[8, 9];[13, 3];499.0;DBL
[8, 9];[14, 3];375.0;DBL
[8, 9];[1, 4];180.0;DBL
[8, 9];[2, 4];680.0;DBL
[8, 9];[3, 4];999.0;DBL
[8, 9];[4, 4];229.0;DBL
[8, 9];[5, 4];999.0;DBL
[8, 9];[6, 4];274.0;DBL
[8, 9];[7, 4];318.0;DBL
[8, 9];[8, 4];337.0;DBL
[8, 9];[9, 4];683.0;DBL
[8, 9];[10, 4];522.0;DBL
[8, 9];[11, 4];999.0;DBL
[8, 9];[12, 4];614.0;DBL
[8, 9];[13, 4];373.0;DBL
[8, 9];[14, 4];386.0;DBL
[8, 9];[1, 5];48.0;DBL
[8, 9];[2, 5];361.0;DBL
[8, 9];[3, 5];765.0;DBL
[8, 9];[4, 5];145.0;DBL
[8, 9];[5, 5];673.0;DBL
[8, 9];[6, 5];85.0;DBL
[8, 9];[7, 5];121.0;DBL
[8, 9];[8, 5];119.0;DBL
[8, 9];[9, 5];256.0;DBL
[8, 9];[10, 5];154.0;DBL
[8, 9];[11, 5];999.0;DBL
[8, 9];[12, 5];413.0;DBL
[8, 9];[13, 5];177.0;DBL
[8, 9];[14, 5];146.0;DBL
[8, 9];[1, 6];620.0;DBL
[8, 9];[2, 6];999.0;DBL
[8, 9];[3, 6];999.0;DBL
[8, 9];[4, 6];999.0;DBL
[8, 9];[5, 6];999.0;DBL
[8, 9];[6, 6];999.0;DBL
[8, 9];[7, 6];999.0;DBL
[8, 9];[8, 6];999.0;DBL
[8, 9];[9, 6];999.0;DBL
[8, 9];[10, 6];999.0;DBL
[8, 9];[11, 6];999.0;DBL
[8, 9];[12, 6];999.0;DBL
[8, 9];[13, 6];999.0;DBL
[8, 9];[14, 6];999.0;DBL
[8, 9];[1, 7];30.0;DBL
[8, 9];[2, 7];315.0;DBL
[8, 9];[3, 7];478.0;DBL
[8, 9];[4, 7];122.0;DBL
[8, 9];[5, 7];806.0;DBL
[8, 9];[6, 7];91.0;DBL
[8, 9];[7, 7];82.0;DBL
[8, 9];[8, 7];113.0;DBL
[8, 9];[9, 7];175.0;DBL
[8, 9];[10, 7];110.0;DBL
[8, 9];[11, 7];859.0;DBL
[8, 9];[12, 7];399.0;DBL
[8, 9];[13, 7];128.0;DBL
[8, 9];[14, 7];90.0;DBL
[8, 9];[1, 8];39.0;DBL
[8, 9];[2, 8];331.0;DBL
[8, 9];[3, 8];406.0;DBL
[8, 9];[4, 8];119.0;DBL
[8, 9];[5, 8];916.0;DBL
[8, 9];[6, 8];65.0;DBL
[8, 9];[7, 8];77.0;DBL
[8, 9];[8, 8];85.0;DBL
[8, 9];[9, 8];218.0;DBL
[8, 9];[10, 8];134.0;DBL
[8, 9];[11, 8];999.0;DBL
[8, 9];[12, 8];245.0;DBL
[8, 9];[13, 8];186.0;DBL
[8, 9];[14, 8];97.0;DBL
[8, 9];[1, 9];88.0;DBL
[8, 9];[2, 9];506.0;DBL
[8, 9];[3, 9];999.0;DBL
[8, 9];[4, 9];213.0;DBL
[8, 9];[5, 9];999.0;DBL
[8, 9];[6, 9];208.0;DBL
[8, 9];[7, 9];195.0;DBL
[8, 9];[8, 9];235.0;DBL
[8, 9];[9, 9];356.0;DBL
[8, 9];[10, 9];167.0;DBL
[8, 9];[11, 9];999.0;DBL
[8, 9];[12, 9];460.0;DBL
[8, 9];[13, 9];280.0;DBL
[8, 9];[14, 9];214.0;DBL
[8, 9];[1, 10];79.0;DBL
[8, 9];[2, 10];691.0;DBL
[8, 9];[3, 10];591.0;DBL
[8, 9];[4, 10];178.0;DBL
[8, 9];[5, 10];999.0;DBL
[8, 9];[6, 10];103.0;DBL
[8, 9];[7, 10];158.0;DBL
[8, 9];[8, 10];122.0;DBL
[8, 9];[9, 10];456.0;DBL
[8, 9];[10, 10];312.0;DBL
[8, 9];[11, 10];999.0;DBL
[8, 9];[12, 10];548.0;DBL
[8, 9];[13, 10];270.0;DBL
[8, 9];[14, 10];172.0;DBL
[8, 9];[1, 11];33.0;DBL
[8, 9];[2, 11];399.0;DBL
[8, 9];[3, 11];206.0;DBL
[8, 9];[4, 11];130.0;DBL
[8, 9];[5, 11];956.0;DBL
[8, 9];[6, 11];60.0;DBL
[8, 9];[7, 11];67.0;DBL
[8, 9];[8, 11];77.0;DBL
[8, 9];[9, 11];91.0;DBL
[8, 9];[10, 11];156.0;DBL
[8, 9];[11, 11];590.0;DBL
[8, 9];[12, 11];401.0;DBL
[8, 9];[13, 11];105.0;DBL
[8, 9];[14, 11];115.0;DBL
[8, 9];[1, 12];201.0;DBL
[8, 9];[2, 12];923.0;DBL
[8, 9];[3, 12];999.0;DBL
[8, 9];[4, 12];529.0;DBL
[8, 9];[5, 12];999.0;DBL
[8, 9];[6, 12];517.0;DBL
[8, 9];[7, 12];474.0;DBL
[8, 9];[8, 12];580.0;DBL
[8, 9];[9, 12];999.0;DBL
[8, 9];[10, 12];582.0;DBL
[8, 9];[11, 12];999.0;DBL
[8, 9];[12, 12];901.0;DBL
[8, 9];[13, 12];502.0;DBL
[8, 9];[14, 12];455.0;DBL
[8, 9];[1, 13];127.0;DBL
[8, 9];[2, 13];999.0;DBL
[8, 9];[3, 13];999.0;DBL
[8, 9];[4, 13];461.0;DBL
[8, 9];[5, 13];999.0;DBL
