race;horseNumber;odds;type
[1, 2];[1, 1];317.0;DBL
[1, 2];[2, 1];163.0;DBL
[1, 2];[3, 1];0.0;DBL
[1, 2];[4, 1];288.0;DBL
[1, 2];[5, 1];114.0;DBL
[1, 2];[6, 1];98.0;DBL
[1, 2];[7, 1];570.0;DBL
[1, 2];[8, 1];94.0;DBL
[1, 2];[9, 1];194.0;DBL
[1, 2];[10, 1];316.0;DBL
[1, 2];[11, 1];204.0;DBL
[1, 2];[12, 1];306.0;DBL
[1, 2];[1, 2];614.0;DBL
[1, 2];[2, 2];119.0;DBL
[1, 2];[3, 2];0.0;DBL
[1, 2];[4, 2];300.0;DBL
[1, 2];[5, 2];121.0;DBL
[1, 2];[6, 2];99.0;DBL
[1, 2];[7, 2];455.0;DBL
[1, 2];[8, 2];104.0;DBL
[1, 2];[9, 2];185.0;DBL
[1, 2];[10, 2];280.0;DBL
[1, 2];[11, 2];206.0;DBL
[1, 2];[12, 2];312.0;DBL
[1, 2];[1, 3];134.0;DBL
[1, 2];[2, 3];30.0;DBL
[1, 2];[3, 3];0.0;DBL
[1, 2];[4, 3];83.0;DBL
[1, 2];[5, 3];13.0;DBL
[1, 2];[6, 3];8.4;DBL
[1, 2];[7, 3];106.0;DBL
[1, 2];[8, 3];14.0;DBL
[1, 2];[9, 3];45.0;DBL
[1, 2];[10, 3];59.0;DBL
[1, 2];[11, 3];47.0;DBL
[1, 2];[12, 3];73.0;DBL
[1, 2];[1, 4];316.0;DBL
[1, 2];[2, 4];66.0;DBL
[1, 2];[3, 4];0.0;DBL
[1, 2];[4, 4];192.0;DBL
[1, 2];[5, 4];44.0;DBL
[1, 2];[6, 4];46.0;DBL
[1, 2];[7, 4];311.0;DBL
[1, 2];[8, 4];30.0;DBL
[1, 2];[9, 4];101.0;DBL
[1, 2];[10, 4];136.0;DBL
[1, 2];[11, 4];105.0;DBL
[1, 2];[12, 4];174.0;DBL
[1, 2];[1, 5];378.0;DBL
[1, 2];[2, 5];121.0;DBL
[1, 2];[3, 5];0.0;DBL
[1, 2];[4, 5];354.0;DBL
[1, 2];[5, 5];53.0;DBL
[1, 2];[6, 5];73.0;DBL
[1, 2];[7, 5];471.0;DBL
[1, 2];[8, 5];73.0;DBL
[1, 2];[9, 5];163.0;DBL
[1, 2];[10, 5];202.0;DBL
[1, 2];[11, 5];139.0;DBL
[1, 2];[12, 5];174.0;DBL
[1, 2];[1, 6];305.0;DBL
[1, 2];[2, 6];83.0;DBL
[1, 2];[3, 6];0.0;DBL
[1, 2];[4, 6];219.0;DBL
[1, 2];[5, 6];70.0;DBL
[1, 2];[6, 6];44.0;DBL
[1, 2];[7, 6];359.0;DBL
[1, 2];[8, 6];51.0;DBL
[1, 2];[9, 6];112.0;DBL
[1, 2];[10, 6];157.0;DBL
[1, 2];[11, 6];109.0;DBL
[1, 2];[12, 6];194.0;DBL
[1, 2];[1, 7];326.0;DBL
[1, 2];[2, 7];73.0;DBL
[1, 2];[3, 7];0.0;DBL
[1, 2];[4, 7];250.0;DBL
[1, 2];[5, 7];49.0;DBL
[1, 2];[6, 7];38.0;DBL
[1, 2];[7, 7];290.0;DBL
[1, 2];[8, 7];51.0;DBL
[1, 2];[9, 7];104.0;DBL
[1, 2];[10, 7];156.0;DBL
[1, 2];[11, 7];85.0;DBL
[1, 2];[12, 7];126.0;DBL
[1, 2];[1, 8];729.0;DBL
[1, 2];[2, 8];507.0;DBL
[1, 2];[3, 8];0.0;DBL
[1, 2];[4, 8];761.0;DBL
[1, 2];[5, 8];413.0;DBL
[1, 2];[6, 8];227.0;DBL
[1, 2];[7, 8];999.0;DBL
[1, 2];[8, 8];315.0;DBL
[1, 2];[9, 8];577.0;DBL
[1, 2];[10, 8];877.0;DBL
[1, 2];[11, 8];624.0;DBL
[1, 2];[12, 8];771.0;DBL
[1, 2];[1, 9];999.0;DBL
[1, 2];[2, 9];618.0;DBL
[1, 2];[3, 9];0.0;DBL
[1, 2];[4, 9];999.0;DBL
[1, 2];[5, 9];482.0;DBL
[1, 2];[6, 9];418.0;DBL
[1, 2];[7, 9];999.0;DBL
[1, 2];[8, 9];362.0;DBL
[1, 2];[9, 9];677.0;DBL
[1, 2];[10, 9];999.0;DBL
[1, 2];[11, 9];563.0;DBL
[1, 2];[12, 9];999.0;DBL
[1, 2];[1, 10];425.0;DBL
[1, 2];[2, 10];75.0;DBL
[1, 2];[3, 10];0.0;DBL
[1, 2];[4, 10];304.0;DBL
[1, 2];[5, 10];65.0;DBL
[1, 2];[6, 10];50.0;DBL
[1, 2];[7, 10];415.0;DBL
[1, 2];[8, 10];58.0;DBL
[1, 2];[9, 10];123.0;DBL
[1, 2];[10, 10];163.0;DBL
[1, 2];[11, 10];111.0;DBL
[1, 2];[12, 10];179.0;DBL
[1, 2];[1, 11];890.0;DBL
[1, 2];[2, 11];271.0;DBL
[1, 2];[3, 11];0.0;DBL
[1, 2];[4, 11];700.0;DBL
[1, 2];[5, 11];212.0;DBL
[1, 2];[6, 11];184.0;DBL
[1, 2];[7, 11];783.0;DBL
[1, 2];[8, 11];172.0;DBL
[1, 2];[9, 11];390.0;DBL
[1, 2];[10, 11];130.0;DBL
[1, 2];[11, 11];350.0;DBL
[1, 2];[12, 11];545.0;DBL
[1, 2];[1, 12];192.0;DBL
[1, 2];[2, 12];37.0;DBL
[1, 2];[3, 12];0.0;DBL
[1, 2];[4, 12];120.0;DBL
[1, 2];[5, 12];17.0;DBL
[1, 2];[6, 12];17.0;DBL
[1, 2];[7, 12];142.0;DBL
[1, 2];[8, 12];19.0;DBL
[1, 2];[9, 12];61.0;DBL
[1, 2];[10, 12];67.0;DBL
[1, 2];[11, 12];46.0;DBL
[1, 2];[12, 12];80.0;DBL
1;[1, 2];380.0;FCT
1;[2, 1];307.0;FCT
1;[1, 3];0.0;FCT
1;[2, 3];0.0;FCT
1;[3, 1];0.0;FCT
1;[3, 2];0.0;FCT
1;[1, 4];593.0;FCT
1;[2, 4];206.0;FCT
1;[3, 4];0.0;FCT
1;[4, 1];609.0;FCT
1;[4, 2];236.0;FCT
1;[4, 3];0.0;FCT
1;[1, 5];278.0;FCT
1;[2, 5];49.0;FCT
1;[3, 5];0.0;FCT
1;[4, 5];168.0;FCT
1;[5, 1];189.0;FCT
1;[5, 2];42.0;FCT
1;[5, 3];0.0;FCT
1;[5, 4];134.0;FCT
1;[1, 6];274.0;FCT
1;[2, 6];44.0;FCT
1;[3, 6];0.0;FCT
1;[4, 6];132.0;FCT
1;[5, 6];21.0;FCT
1;[6, 1];184.0;FCT
1;[6, 2];37.0;FCT
1;[6, 3];0.0;FCT
1;[6, 4];91.0;FCT
1;[6, 5];18.0;FCT
1;[1, 7];851.0;FCT
1;[2, 7];367.0;FCT
1;[3, 7];0.0;FCT
1;[4, 7];598.0;FCT
1;[5, 7];162.0;FCT
1;[6, 7];126.0;FCT
1;[7, 1];938.0;FCT
1;[7, 2];430.0;FCT
1;[7, 3];0.0;FCT
1;[7, 4];624.0;FCT
1;[7, 5];228.0;FCT
1;[7, 6];171.0;FCT
1;[1, 8];267.0;FCT
1;[2, 8];34.0;FCT
1;[3, 8];0.0;FCT
1;[4, 8];148.0;FCT
1;[5, 8];24.0;FCT
1;[6, 8];21.0;FCT
1;[7, 8];228.0;FCT
1;[8, 1];175.0;FCT
1;[8, 2];24.0;FCT
1;[8, 3];0.0;FCT
1;[8, 4];84.0;FCT
1;[8, 5];20.0;FCT
1;[8, 6];18.0;FCT
1;[8, 7];177.0;FCT
1;[1, 9];569.0;FCT
1;[2, 9];75.0;FCT
1;[3, 9];0.0;FCT
1;[4, 9];210.0;FCT
1;[5, 9];52.0;FCT
1;[6, 9];35.0;FCT
1;[7, 9];273.0;FCT
1;[8, 9];25.0;FCT
1;[9, 1];444.0;FCT
1;[9, 2];74.0;FCT
1;[9, 3];0.0;FCT
1;[9, 4];174.0;FCT
1;[9, 5];59.0;FCT
1;[9, 6];42.0;FCT
1;[9, 7];232.0;FCT
1;[9, 8];34.0;FCT
1;[1, 10];633.0;FCT
1;[2, 10];93.0;FCT
1;[3, 10];0.0;FCT
1;[4, 10];517.0;FCT
1;[5, 10];83.0;FCT
1;[6, 10];62.0;FCT
1;[7, 10];367.0;FCT
1;[8, 10];38.0;FCT
1;[9, 10];108.0;FCT
1;[10, 1];565.0;FCT
1;[10, 2];99.0;FCT
1;[10, 3];0.0;FCT
1;[10, 4];392.0;FCT
1;[10, 5];93.0;FCT
1;[10, 6];78.0;FCT
1;[10, 7];332.0;FCT
1;[10, 8];58.0;FCT
1;[10, 9];120.0;FCT
1;[1, 11];679.0;FCT
1;[2, 11];91.0;FCT
1;[3, 11];0.0;FCT
1;[4, 11];348.0;FCT
