race;horseNumber;odds;type
[3, 4];[1, 1];27.0;DBL
[3, 4];[2, 1];562.0;DBL
[3, 4];[3, 1];157.0;DBL
[3, 4];[4, 1];279.0;DBL
[3, 4];[5, 1];94.0;DBL
[3, 4];[6, 1];308.0;DBL
[3, 4];[7, 1];118.0;DBL
[3, 4];[8, 1];344.0;DBL
[3, 4];[9, 1];68.0;DBL
[3, 4];[10, 1];381.0;DBL
[3, 4];[11, 1];999.0;DBL
[3, 4];[12, 1];139.0;DBL
[3, 4];[13, 1];999.0;DBL
[3, 4];[14, 1];466.0;DBL
[3, 4];[1, 2];14.0;DBL
[3, 4];[2, 2];418.0;DBL
[3, 4];[3, 2];118.0;DBL
[3, 4];[4, 2];220.0;DBL
[3, 4];[5, 2];136.0;DBL
[3, 4];[6, 2];188.0;DBL
[3, 4];[7, 2];116.0;DBL
[3, 4];[8, 2];284.0;DBL
[3, 4];[9, 2];53.0;DBL
[3, 4];[10, 2];356.0;DBL
[3, 4];[11, 2];999.0;DBL
[3, 4];[12, 2];174.0;DBL
[3, 4];[13, 2];999.0;DBL
[3, 4];[14, 2];386.0;DBL
[3, 4];[1, 3];49.0;DBL
[3, 4];[2, 3];733.0;DBL
[3, 4];[3, 3];193.0;DBL
[3, 4];[4, 3];279.0;DBL
[3, 4];[5, 3];173.0;DBL
[3, 4];[6, 3];318.0;DBL
[3, 4];[7, 3];231.0;DBL
[3, 4];[8, 3];912.0;DBL
[3, 4];[9, 3];99.0;DBL
[3, 4];[10, 3];620.0;DBL
[3, 4];[11, 3];999.0;DBL
[3, 4];[12, 3];283.0;DBL
[3, 4];[13, 3];999.0;DBL
[3, 4];[14, 3];459.0;DBL
[3, 4];[1, 4];22.0;DBL
[3, 4];[2, 4];356.0;DBL
[3, 4];[3, 4];139.0;DBL
[3, 4];[4, 4];208.0;DBL
[3, 4];[5, 4];154.0;DBL
[3, 4];[6, 4];198.0;DBL
[3, 4];[7, 4];146.0;DBL
[3, 4];[8, 4];419.0;DBL
[3, 4];[9, 4];50.0;DBL
[3, 4];[10, 4];285.0;DBL
[3, 4];[11, 4];999.0;DBL
[3, 4];[12, 4];176.0;DBL
[3, 4];[13, 4];999.0;DBL
[3, 4];[14, 4];321.0;DBL
[3, 4];[1, 5];17.0;DBL
[3, 4];[2, 5];284.0;DBL
[3, 4];[3, 5];101.0;DBL
[3, 4];[4, 5];179.0;DBL
[3, 4];[5, 5];112.0;DBL
[3, 4];[6, 5];116.0;DBL
[3, 4];[7, 5];70.0;DBL
[3, 4];[8, 5];358.0;DBL
[3, 4];[9, 5];41.0;DBL
[3, 4];[10, 5];251.0;DBL
[3, 4];[11, 5];999.0;DBL
[3, 4];[12, 5];125.0;DBL
[3, 4];[13, 5];999.0;DBL
[3, 4];[14, 5];287.0;DBL
[3, 4];[1, 6];72.0;DBL
[3, 4];[2, 6];999.0;DBL
[3, 4];[3, 6];306.0;DBL
[3, 4];[4, 6];532.0;DBL
[3, 4];[5, 6];335.0;DBL
[3, 4];[6, 6];732.0;DBL
[3, 4];[7, 6];288.0;DBL
[3, 4];[8, 6];999.0;DBL
[3, 4];[9, 6];207.0;DBL
[3, 4];[10, 6];999.0;DBL
[3, 4];[11, 6];999.0;DBL
[3, 4];[12, 6];464.0;DBL
[3, 4];[13, 6];999.0;DBL
[3, 4];[14, 6];622.0;DBL
[3, 4];[1, 7];14.0;DBL
[3, 4];[2, 7];242.0;DBL
[3, 4];[3, 7];77.0;DBL
[3, 4];[4, 7];146.0;DBL
[3, 4];[5, 7];92.0;DBL
