race;horseNumber;odds;type
[3, 4];[1, 1];17.0;DBL
[3, 4];[2, 1];67.0;DBL
[3, 4];[3, 1];71.0;DBL
[3, 4];[4, 1];26.0;DBL
[3, 4];[5, 1];214.0;DBL
[3, 4];[6, 1];5.9;DBL
[3, 4];[7, 1];132.0;DBL
[3, 4];[8, 1];19.0;DBL
[3, 4];[9, 1];7.5;DBL
[3, 4];[10, 1];11.0;DBL
[3, 4];[11, 1];28.0;DBL
[3, 4];[12, 1];55.0;DBL
[3, 4];[13, 1];54.0;DBL
[3, 4];[14, 1];23.0;DBL
[3, 4];[1, 2];66.0;DBL
[3, 4];[2, 2];184.0;DBL
[3, 4];[3, 2];325.0;DBL
[3, 4];[4, 2];114.0;DBL
[3, 4];[5, 2];935.0;DBL
[3, 4];[6, 2];32.0;DBL
[3, 4];[7, 2];543.0;DBL
[3, 4];[8, 2];78.0;DBL
[3, 4];[9, 2];37.0;DBL
[3, 4];[10, 2];39.0;DBL
[3, 4];[11, 2];101.0;DBL
[3, 4];[12, 2];250.0;DBL
[3, 4];[13, 2];199.0;DBL
[3, 4];[14, 2];100.0;DBL
[3, 4];[1, 3];186.0;DBL
[3, 4];[2, 3];682.0;DBL
[3, 4];[3, 3];999.0;DBL
[3, 4];[4, 3];391.0;DBL
[3, 4];[5, 3];999.0;DBL
[3, 4];[6, 3];106.0;DBL
[3, 4];[7, 3];999.0;DBL
[3, 4];[8, 3];200.0;DBL
[3, 4];[9, 3];115.0;DBL
[3, 4];[10, 3];121.0;DBL
[3, 4];[11, 3];326.0;DBL
[3, 4];[12, 3];442.0;DBL
[3, 4];[13, 3];528.0;DBL
[3, 4];[14, 3];330.0;DBL
[3, 4];[1, 4];97.0;DBL
[3, 4];[2, 4];398.0;DBL
[3, 4];[3, 4];709.0;DBL
[3, 4];[4, 4];204.0;DBL
[3, 4];[5, 4];999.0;DBL
[3, 4];[6, 4];54.0;DBL
[3, 4];[7, 4];892.0;DBL
[3, 4];[8, 4];139.0;DBL
[3, 4];[9, 4];51.0;DBL
[3, 4];[10, 4];83.0;DBL
[3, 4];[11, 4];166.0;DBL
[3, 4];[12, 4];264.0;DBL
[3, 4];[13, 4];318.0;DBL
[3, 4];[14, 4];174.0;DBL
[3, 4];[1, 5];157.0;DBL
[3, 4];[2, 5];427.0;DBL
[3, 4];[3, 5];950.0;DBL
[3, 4];[4, 5];259.0;DBL
[3, 4];[5, 5];999.0;DBL
[3, 4];[6, 5];73.0;DBL
[3, 4];[7, 5];980.0;DBL
[3, 4];[8, 5];199.0;DBL
[3, 4];[9, 5];87.0;DBL
[3, 4];[10, 5];109.0;DBL
[3, 4];[11, 5];216.0;DBL
[3, 4];[12, 5];410.0;DBL
[3, 4];[13, 5];523.0;DBL
[3, 4];[14, 5];197.0;DBL
[3, 4];[1, 6];62.0;DBL
[3, 4];[2, 6];207.0;DBL
[3, 4];[3, 6];428.0;DBL
[3, 4];[4, 6];97.0;DBL
[3, 4];[5, 6];999.0;DBL
[3, 4];[6, 6];48.0;DBL
[3, 4];[7, 6];913.0;DBL
[3, 4];[8, 6];117.0;DBL
[3, 4];[9, 6];27.0;DBL
[3, 4];[10, 6];73.0;DBL
[3, 4];[11, 6];131.0;DBL
[3, 4];[12, 6];297.0;DBL
[3, 4];[13, 6];250.0;DBL
[3, 4];[14, 6];110.0;DBL
[3, 4];[1, 7];64.0;DBL
[3, 4];[2, 7];202.0;DBL
[3, 4];[3, 7];341.0;DBL
[3, 4];[4, 7];111.0;DBL
[3, 4];[5, 7];863.0;DBL
[3, 4];[6, 7];25.0;DBL
[3, 4];[7, 7];547.0;DBL
[3, 4];[8, 7];77.0;DBL
[3, 4];[9, 7];22.0;DBL
[3, 4];[10, 7];27.0;DBL
[3, 4];[11, 7];88.0;DBL
[3, 4];[12, 7];203.0;DBL
[3, 4];[13, 7];176.0;DBL
[3, 4];[14, 7];107.0;DBL
[3, 4];[1, 8];523.0;DBL
[3, 4];[2, 8];878.0;DBL
[3, 4];[3, 8];999.0;DBL
[3, 4];[4, 8];959.0;DBL
[3, 4];[5, 8];999.0;DBL
[3, 4];[6, 8];296.0;DBL
[3, 4];[7, 8];999.0;DBL
[3, 4];[8, 8];654.0;DBL
[3, 4];[9, 8];320.0;DBL
[3, 4];[10, 8];427.0;DBL
[3, 4];[11, 8];615.0;DBL
[3, 4];[12, 8];941.0;DBL
[3, 4];[13, 8];999.0;DBL
[3, 4];[14, 8];561.0;DBL
3;[1, 2];278.0;FCT
3;[2, 1];382.0;FCT
3;[1, 3];214.0;FCT
3;[2, 3];759.0;FCT
3;[3, 1];279.0;FCT
3;[3, 2];766.0;FCT
3;[1, 4];130.0;FCT
3;[2, 4];752.0;FCT
3;[3, 4];382.0;FCT
3;[4, 1];145.0;FCT
3;[4, 2];677.0;FCT
3;[4, 3];344.0;FCT
3;[1, 5];616.0;FCT
3;[2, 5];999.0;FCT
3;[3, 5];999.0;FCT
3;[4, 5];999.0;FCT
3;[5, 1];983.0;FCT
3;[5, 2];999.0;FCT
3;[5, 3];999.0;FCT
3;[5, 4];999.0;FCT
3;[1, 6];52.0;FCT
3;[2, 6];193.0;FCT
3;[3, 6];120.0;FCT
3;[4, 6];104.0;FCT
3;[5, 6];668.0;FCT
3;[6, 1];28.0;FCT
3;[6, 2];113.0;FCT
3;[6, 3];70.0;FCT
3;[6, 4];61.0;FCT
3;[6, 5];270.0;FCT
3;[1, 7];545.0;FCT
3;[2, 7];999.0;FCT
3;[3, 7];953.0;FCT
3;[4, 7];753.0;FCT
3;[5, 7];999.0;FCT
3;[6, 7];220.0;FCT
3;[7, 1];816.0;FCT
3;[7, 2];999.0;FCT
3;[7, 3];999.0;FCT
3;[7, 4];900.0;FCT
3;[7, 5];999.0;FCT
3;[7, 6];452.0;FCT
3;[1, 8];142.0;FCT
3;[2, 8];650.0;FCT
3;[3, 8];466.0;FCT
3;[4, 8];277.0;FCT
3;[5, 8];999.0;FCT
3;[6, 8];52.0;FCT
3;[7, 8];999.0;FCT
3;[8, 1];139.0;FCT
3;[8, 2];540.0;FCT
3;[8, 3];399.0;FCT
3;[8, 4];270.0;FCT
3;[8, 5];999.0;FCT
3;[8, 6];80.0;FCT
3;[8, 7];957.0;FCT
3;[1, 9];37.0;FCT
3;[2, 9];227.0;FCT
3;[3, 9];161.0;FCT
3;[4, 9];92.0;FCT
3;[5, 9];535.0;FCT
3;[6, 9];13.0;FCT
3;[7, 9];499.0;FCT
3;[8, 9];67.0;FCT
3;[9, 1];27.0;FCT
3;[9, 2];138.0;FCT
3;[9, 3];115.0;FCT
3;[9, 4];68.0;FCT
