race;horseNumber;odds;type
[7, 8];[1, 1];148.0;DBL
[7, 8];[2, 1];115.0;DBL
[7, 8];[3, 1];113.0;DBL
[7, 8];[4, 1];158.0;DBL
[7, 8];[5, 1];243.0;DBL
[7, 8];[6, 1];74.0;DBL
[7, 8];[7, 1];54.0;DBL
[7, 8];[8, 1];394.0;DBL
[7, 8];[9, 1];999.0;DBL
[7, 8];[10, 1];91.0;DBL
[7, 8];[11, 1];181.0;DBL
[7, 8];[12, 1];425.0;DBL
[7, 8];[1, 2];156.0;DBL
[7, 8];[2, 2];82.0;DBL
[7, 8];[3, 2];77.0;DBL
[7, 8];[4, 2];86.0;DBL
[7, 8];[5, 2];121.0;DBL
[7, 8];[6, 2];57.0;DBL
[7, 8];[7, 2];27.0;DBL
[7, 8];[8, 2];197.0;DBL
[7, 8];[9, 2];999.0;DBL
[7, 8];[10, 2];71.0;DBL
[7, 8];[11, 2];146.0;DBL
[7, 8];[12, 2];609.0;DBL
[7, 8];[1, 3];65.0;DBL
[7, 8];[2, 3];35.0;DBL
[7, 8];[3, 3];27.0;DBL
[7, 8];[4, 3];27.0;DBL
[7, 8];[5, 3];45.0;DBL
[7, 8];[6, 3];12.0;DBL
[7, 8];[7, 3];7.2;DBL
[7, 8];[8, 3];66.0;DBL
[7, 8];[9, 3];308.0;DBL
[7, 8];[10, 3];19.0;DBL
[7, 8];[11, 3];40.0;DBL
[7, 8];[12, 3];163.0;DBL
[7, 8];[1, 4];376.0;DBL
[7, 8];[2, 4];154.0;DBL
[7, 8];[3, 4];178.0;DBL
[7, 8];[4, 4];228.0;DBL
[7, 8];[5, 4];317.0;DBL
[7, 8];[6, 4];102.0;DBL
[7, 8];[7, 4];83.0;DBL
[7, 8];[8, 4];294.0;DBL
[7, 8];[9, 4];999.0;DBL
[7, 8];[10, 4];137.0;DBL
[7, 8];[11, 4];279.0;DBL
[7, 8];[12, 4];725.0;DBL
[7, 8];[1, 5];527.0;DBL
[7, 8];[2, 5];241.0;DBL
[7, 8];[3, 5];207.0;DBL
[7, 8];[4, 5];224.0;DBL
[7, 8];[5, 5];440.0;DBL
[7, 8];[6, 5];161.0;DBL
[7, 8];[7, 5];116.0;DBL
[7, 8];[8, 5];580.0;DBL
[7, 8];[9, 5];999.0;DBL
[7, 8];[10, 5];195.0;DBL
[7, 8];[11, 5];345.0;DBL
[7, 8];[12, 5];779.0;DBL
[7, 8];[1, 6];999.0;DBL
[7, 8];[2, 6];540.0;DBL
[7, 8];[3, 6];698.0;DBL
[7, 8];[4, 6];859.0;DBL
[7, 8];[5, 6];999.0;DBL
[7, 8];[6, 6];499.0;DBL
[7, 8];[7, 6];313.0;DBL
[7, 8];[8, 6];999.0;DBL
[7, 8];[9, 6];999.0;DBL
[7, 8];[10, 6];502.0;DBL
[7, 8];[11, 6];760.0;DBL
[7, 8];[12, 6];999.0;DBL
[7, 8];[1, 7];335.0;DBL
[7, 8];[2, 7];152.0;DBL
[7, 8];[3, 7];130.0;DBL
[7, 8];[4, 7];203.0;DBL
[7, 8];[5, 7];285.0;DBL
[7, 8];[6, 7];116.0;DBL
[7, 8];[7, 7];64.0;DBL
[7, 8];[8, 7];404.0;DBL
[7, 8];[9, 7];999.0;DBL
[7, 8];[10, 7];125.0;DBL
[7, 8];[11, 7];219.0;DBL
[7, 8];[12, 7];759.0;DBL
[7, 8];[1, 8];93.0;DBL
[7, 8];[2, 8];50.0;DBL
[7, 8];[3, 8];38.0;DBL
[7, 8];[4, 8];49.0;DBL
[7, 8];[5, 8];53.0;DBL
[7, 8];[6, 8];19.0;DBL
[7, 8];[7, 8];10.0;DBL
[7, 8];[8, 8];121.0;DBL
[7, 8];[9, 8];682.0;DBL
[7, 8];[10, 8];27.0;DBL
[7, 8];[11, 8];56.0;DBL
[7, 8];[12, 8];241.0;DBL
[7, 8];[1, 9];187.0;DBL
[7, 8];[2, 9];87.0;DBL
[7, 8];[3, 9];71.0;DBL
[7, 8];[4, 9];81.0;DBL
[7, 8];[5, 9];145.0;DBL
[7, 8];[6, 9];29.0;DBL
[7, 8];[7, 9];28.0;DBL
[7, 8];[8, 9];215.0;DBL
[7, 8];[9, 9];920.0;DBL
[7, 8];[10, 9];43.0;DBL
[7, 8];[11, 9];111.0;DBL
[7, 8];[12, 9];319.0;DBL
[7, 8];[1, 10];340.0;DBL
[7, 8];[2, 10];155.0;DBL
[7, 8];[3, 10];97.0;DBL
[7, 8];[4, 10];171.0;DBL
[7, 8];[5, 10];228.0;DBL
[7, 8];[6, 10];74.0;DBL
[7, 8];[7, 10];62.0;DBL
[7, 8];[8, 10];387.0;DBL
[7, 8];[9, 10];999.0;DBL
[7, 8];[10, 10];69.0;DBL
[7, 8];[11, 10];203.0;DBL
[7, 8];[12, 10];691.0;DBL
[7, 8];[1, 11];999.0;DBL
[7, 8];[2, 11];999.0;DBL
[7, 8];[3, 11];999.0;DBL
[7, 8];[4, 11];999.0;DBL
[7, 8];[5, 11];999.0;DBL
[7, 8];[6, 11];999.0;DBL
[7, 8];[7, 11];576.0;DBL
[7, 8];[8, 11];999.0;DBL
[7, 8];[9, 11];999.0;DBL
[7, 8];[10, 11];858.0;DBL
[7, 8];[11, 11];999.0;DBL
[7, 8];[12, 11];999.0;DBL
7;[1, 2];187.0;FCT
7;[2, 1];174.0;FCT
7;[1, 3];131.0;FCT
7;[2, 3];115.0;FCT
7;[3, 1];129.0;FCT
7;[3, 2];103.0;FCT
7;[1, 4];199.0;FCT
7;[2, 4];154.0;FCT
7;[3, 4];105.0;FCT
7;[4, 1];189.0;FCT
7;[4, 2];151.0;FCT
7;[4, 3];123.0;FCT
7;[1, 5];286.0;FCT
7;[2, 5];212.0;FCT
7;[3, 5];137.0;FCT
7;[4, 5];177.0;FCT
7;[5, 1];292.0;FCT
7;[5, 2];225.0;FCT
7;[5, 3];167.0;FCT
7;[5, 4];185.0;FCT
7;[1, 6];181.0;FCT
7;[2, 6];83.0;FCT
7;[3, 6];69.0;FCT
7;[4, 6];87.0;FCT
7;[5, 6];135.0;FCT
7;[6, 1];136.0;FCT
7;[6, 2];65.0;FCT
7;[6, 3];59.0;FCT
7;[6, 4];70.0;FCT
7;[6, 5];107.0;FCT
7;[1, 7];78.0;FCT
7;[2, 7];56.0;FCT
7;[3, 7];43.0;FCT
7;[4, 7];41.0;FCT
7;[5, 7];73.0;FCT
7;[6, 7];22.0;FCT
7;[7, 1];47.0;FCT
7;[7, 2];38.0;FCT
7;[7, 3];29.0;FCT
7;[7, 4];26.0;FCT
7;[7, 5];42.0;FCT
7;[7, 6];15.0;FCT
7;[1, 8];359.0;FCT
7;[2, 8];269.0;FCT
7;[3, 8];208.0;FCT
7;[4, 8];253.0;FCT
7;[5, 8];366.0;FCT
7;[6, 8];118.0;FCT
7;[7, 8];52.0;FCT
7;[8, 1];357.0;FCT
7;[8, 2];292.0;FCT
7;[8, 3];240.0;FCT
7;[8, 4];267.0;FCT
7;[8, 5];404.0;FCT
7;[8, 6];138.0;FCT
7;[8, 7];83.0;FCT
7;[1, 9];999.0;FCT
7;[2, 9];916.0;FCT
7;[3, 9];842.0;FCT
7;[4, 9];999.0;FCT
7;[5, 9];999.0;FCT
7;[6, 9];545.0;FCT
7;[7, 9];285.0;FCT
7;[8, 9];672.0;FCT
7;[9, 1];999.0;FCT
7;[9, 2];999.0;FCT
7;[9, 3];999.0;FCT
7;[9, 4];999.0;FCT
7;[9, 5];999.0;FCT
7;[9, 6];910.0;FCT
7;[9, 7];477.0;FCT
7;[9, 8];650.0;FCT
7;[1, 10];175.0;FCT
7;[2, 10];100.0;FCT
7;[3, 10];91.0;FCT
7;[4, 10];102.0;FCT
7;[5, 10];146.0;FCT
7;[6, 10];40.0;FCT
7;[7, 10];17.0;FCT
7;[8, 10];212.0;FCT
7;[9, 10];999.0;FCT
7;[10, 1];134.0;FCT
7;[10, 2];93.0;FCT
7;[10, 3];77.0;FCT
7;[10, 4];74.0;FCT
7;[10, 5];110.0;FCT
7;[10, 6];43.0;FCT
7;[10, 7];26.0;FCT
7;[10, 8];160.0;FCT
7;[10, 9];611.0;FCT
7;[1, 11];166.0;FCT
7;[2, 11];195.0;FCT
7;[3, 11];78.0;FCT
7;[4, 11];101.0;FCT
7;[5, 11];139.0;FCT
7;[6, 11];51.0;FCT
7;[7, 11];20.0;FCT
7;[8, 11];196.0;FCT
7;[9, 11];999.0;FCT
7;[10, 11];48.0;FCT
7;[11, 1];140.0;FCT
7;[11, 2];156.0;FCT
7;[11, 3];75.0;FCT
7;[11, 4];81.0;FCT
7;[11, 5];120.0;FCT
7;[11, 6];54.0;FCT
7;[11, 7];30.0;FCT
7;[11, 8];162.0;FCT
7;[11, 9];696.0;FCT
7;[11, 10];54.0;FCT
7;[1, 12];914.0;FCT
7;[2, 12];653.0;FCT
7;[3, 12];406.0;FCT
7;[4, 12];454.0;FCT
7;[5, 12];576.0;FCT
7;[6, 12];293.0;FCT
7;[7, 12];118.0;FCT
7;[8, 12];999.0;FCT
7;[9, 12];999.0;FCT
7;[10, 12];285.0;FCT
7;[11, 12];312.0;FCT
7;[12, 1];999.0;FCT
7;[12, 2];804.0;FCT
7;[12, 3];608.0;FCT
7;[12, 4];596.0;FCT
7;[12, 5];724.0;FCT
7;[12, 6];483.0;FCT
7;[12, 7];252.0;FCT
7;[12, 8];999.0;FCT
7;[12, 9];999.0;FCT
7;[12, 10];484.0;FCT
7;[12, 11];456.0;FCT
7;[1, 2, 3, 4];213.0;FF
7;[1, 2, 3, 5];359.0;FF
7;[1, 2, 4, 5];463.0;FF
7;[1, 3, 4, 5];309.0;FF
7;[2, 3, 4, 5];312.0;FF
7;[1, 2, 3, 6];227.0;FF
7;[1, 2, 4, 6];336.0;FF
7;[1, 3, 4, 6];272.0;FF
7;[2, 3, 4, 6];179.0;FF
7;[1, 2, 5, 6];436.0;FF
7;[1, 3, 5, 6];439.0;FF
7;[2, 3, 5, 6];248.0;FF
7;[1, 4, 5, 6];485.0;FF
7;[2, 4, 5, 6];328.0;FF
7;[3, 4, 5, 6];227.0;FF
7;[1, 2, 3, 7];123.0;FF
7;[1, 2, 4, 7];146.0;FF
7;[1, 3, 4, 7];124.0;FF
7;[2, 3, 4, 7];84.0;FF
7;[1, 2, 5, 7];157.0;FF
7;[1, 3, 5, 7];140.0;FF
7;[2, 3, 5, 7];124.0;FF
7;[1, 4, 5, 7];146.0;FF
7;[2, 4, 5, 7];153.0;FF
7;[3, 4, 5, 7];113.0;FF
7;[1, 2, 6, 7];85.0;FF
7;[1, 3, 6, 7];92.0;FF
7;[2, 3, 6, 7];41.0;FF
7;[1, 4, 6, 7];80.0;FF
7;[2, 4, 6, 7];58.0;FF
7;[3, 4, 6, 7];48.0;FF
7;[1, 5, 6, 7];121.0;FF
7;[2, 5, 6, 7];86.0;FF
7;[3, 5, 6, 7];74.0;FF
7;[4, 5, 6, 7];60.0;FF
