race;horseNumber;odds;type
[9, 10];[1, 1];26.0;DBL
[9, 10];[2, 1];24.0;DBL
[9, 10];[3, 1];10.0;DBL
[9, 10];[4, 1];54.0;DBL
[9, 10];[5, 1];76.0;DBL
[9, 10];[6, 1];89.0;DBL
[9, 10];[7, 1];562.0;DBL
[9, 10];[8, 1];65.0;DBL
[9, 10];[9, 1];5.4;DBL
[9, 10];[10, 1];108.0;DBL
[9, 10];[11, 1];781.0;DBL
[9, 10];[12, 1];700.0;DBL
[9, 10];[1, 2];105.0;DBL
[9, 10];[2, 2];61.0;DBL
[9, 10];[3, 2];67.0;DBL
[9, 10];[4, 2];148.0;DBL
[9, 10];[5, 2];116.0;DBL
[9, 10];[6, 2];294.0;DBL
[9, 10];[7, 2];999.0;DBL
[9, 10];[8, 2];180.0;DBL
[9, 10];[9, 2];30.0;DBL
[9, 10];[10, 2];341.0;DBL
[9, 10];[11, 2];999.0;DBL
[9, 10];[12, 2];999.0;DBL
[9, 10];[1, 3];50.0;DBL
[9, 10];[2, 3];30.0;DBL
[9, 10];[3, 3];32.0;DBL
[9, 10];[4, 3];63.0;DBL
[9, 10];[5, 3];98.0;DBL
[9, 10];[6, 3];131.0;DBL
[9, 10];[7, 3];999.0;DBL
[9, 10];[8, 3];96.0;DBL
[9, 10];[9, 3];11.0;DBL
[9, 10];[10, 3];146.0;DBL
[9, 10];[11, 3];999.0;DBL
[9, 10];[12, 3];999.0;DBL
[9, 10];[1, 4];153.0;DBL
[9, 10];[2, 4];127.0;DBL
[9, 10];[3, 4];81.0;DBL
[9, 10];[4, 4];97.0;DBL
[9, 10];[5, 4];277.0;DBL
[9, 10];[6, 4];226.0;DBL
[9, 10];[7, 4];999.0;DBL
[9, 10];[8, 4];248.0;DBL
[9, 10];[9, 4];34.0;DBL
[9, 10];[10, 4];407.0;DBL
[9, 10];[11, 4];999.0;DBL
[9, 10];[12, 4];999.0;DBL
[9, 10];[1, 5];26.0;DBL
[9, 10];[2, 5];47.0;DBL
[9, 10];[3, 5];20.0;DBL
[9, 10];[4, 5];82.0;DBL
[9, 10];[5, 5];103.0;DBL
[9, 10];[6, 5];156.0;DBL
[9, 10];[7, 5];986.0;DBL
[9, 10];[8, 5];99.0;DBL
[9, 10];[9, 5];12.0;DBL
[9, 10];[10, 5];191.0;DBL
[9, 10];[11, 5];999.0;DBL
[9, 10];[12, 5];999.0;DBL
[9, 10];[1, 6];155.0;DBL
[9, 10];[2, 6];190.0;DBL
[9, 10];[3, 6];85.0;DBL
[9, 10];[4, 6];213.0;DBL
[9, 10];[5, 6];250.0;DBL
[9, 10];[6, 6];175.0;DBL
[9, 10];[7, 6];999.0;DBL
[9, 10];[8, 6];228.0;DBL
[9, 10];[9, 6];43.0;DBL
[9, 10];[10, 6];454.0;DBL
[9, 10];[11, 6];999.0;DBL
[9, 10];[12, 6];999.0;DBL
[9, 10];[1, 7];161.0;DBL
[9, 10];[2, 7];137.0;DBL
[9, 10];[3, 7];130.0;DBL
[9, 10];[4, 7];191.0;DBL
[9, 10];[5, 7];309.0;DBL
[9, 10];[6, 7];110.0;DBL
[9, 10];[7, 7];999.0;DBL
[9, 10];[8, 7];271.0;DBL
[9, 10];[9, 7];37.0;DBL
[9, 10];[10, 7];150.0;DBL
[9, 10];[11, 7];999.0;DBL
[9, 10];[12, 7];999.0;DBL
[9, 10];[1, 8];748.0;DBL
[9, 10];[2, 8];679.0;DBL
[9, 10];[3, 8];664.0;DBL
[9, 10];[4, 8];776.0;DBL
[9, 10];[5, 8];999.0;DBL
[9, 10];[6, 8];999.0;DBL
[9, 10];[7, 8];999.0;DBL
[9, 10];[8, 8];818.0;DBL
[9, 10];[9, 8];154.0;DBL
[9, 10];[10, 8];999.0;DBL
[9, 10];[11, 8];999.0;DBL
[9, 10];[12, 8];999.0;DBL
[9, 10];[1, 9];90.0;DBL
[9, 10];[2, 9];116.0;DBL
[9, 10];[3, 9];64.0;DBL
[9, 10];[4, 9];108.0;DBL
[9, 10];[5, 9];211.0;DBL
[9, 10];[6, 9];185.0;DBL
[9, 10];[7, 9];999.0;DBL
[9, 10];[8, 9];201.0;DBL
[9, 10];[9, 9];24.0;DBL
[9, 10];[10, 9];312.0;DBL
[9, 10];[11, 9];999.0;DBL
[9, 10];[12, 9];999.0;DBL
[9, 10];[1, 10];225.0;DBL
[9, 10];[2, 10];253.0;DBL
[9, 10];[3, 10];200.0;DBL
[9, 10];[4, 10];319.0;DBL
[9, 10];[5, 10];338.0;DBL
[9, 10];[6, 10];704.0;DBL
[9, 10];[7, 10];999.0;DBL
[9, 10];[8, 10];479.0;DBL
[9, 10];[9, 10];78.0;DBL
[9, 10];[10, 10];696.0;DBL
[9, 10];[11, 10];999.0;DBL
[9, 10];[12, 10];999.0;DBL
[9, 10];[1, 11];810.0;DBL
[9, 10];[2, 11];796.0;DBL
[9, 10];[3, 11];800.0;DBL
[9, 10];[4, 11];907.0;DBL
[9, 10];[5, 11];999.0;DBL
[9, 10];[6, 11];999.0;DBL
[9, 10];[7, 11];999.0;DBL
[9, 10];[8, 11];999.0;DBL
[9, 10];[9, 11];269.0;DBL
[9, 10];[10, 11];999.0;DBL
[9, 10];[11, 11];999.0;DBL
[9, 10];[12, 11];999.0;DBL
[9, 10];[1, 12];293.0;DBL
[9, 10];[2, 12];315.0;DBL
[9, 10];[3, 12];337.0;DBL
[9, 10];[4, 12];347.0;DBL
[9, 10];[5, 12];548.0;DBL
[9, 10];[6, 12];217.0;DBL
[9, 10];[7, 12];999.0;DBL
[9, 10];[8, 12];597.0;DBL
[9, 10];[9, 12];95.0;DBL
[9, 10];[10, 12];239.0;DBL
[9, 10];[11, 12];999.0;DBL
[9, 10];[12, 12];999.0;DBL
9;[1, 2];53.0;FCT
9;[2, 1];49.0;FCT
9;[1, 3];50.0;FCT
9;[2, 3];39.0;FCT
9;[3, 1];41.0;FCT
9;[3, 2];35.0;FCT
9;[1, 4];106.0;FCT
9;[2, 4];80.0;FCT
9;[3, 4];60.0;FCT
9;[4, 1];106.0;FCT
9;[4, 2];87.0;FCT
9;[4, 3];74.0;FCT
9;[1, 5];146.0;FCT
9;[2, 5];116.0;FCT
9;[3, 5];82.0;FCT
9;[4, 5];174.0;FCT
9;[5, 1];155.0;FCT
9;[5, 2];112.0;FCT
9;[5, 3];105.0;FCT
9;[5, 4];188.0;FCT
9;[1, 6];178.0;FCT
9;[2, 6];148.0;FCT
9;[3, 6];98.0;FCT
9;[4, 6];200.0;FCT
9;[5, 6];316.0;FCT
9;[6, 1];184.0;FCT
9;[6, 2];179.0;FCT
9;[6, 3];141.0;FCT
9;[6, 4];211.0;FCT
9;[6, 5];318.0;FCT
9;[1, 7];949.0;FCT
9;[2, 7];794.0;FCT
9;[3, 7];777.0;FCT
9;[4, 7];910.0;FCT
9;[5, 7];999.0;FCT
9;[6, 7];999.0;FCT
9;[7, 1];999.0;FCT
9;[7, 2];999.0;FCT
9;[7, 3];999.0;FCT
9;[7, 4];999.0;FCT
9;[7, 5];999.0;FCT
9;[7, 6];999.0;FCT
9;[1, 8];169.0;FCT
9;[2, 8];109.0;FCT
9;[3, 8];107.0;FCT
9;[4, 8];260.0;FCT
9;[5, 8];271.0;FCT
9;[6, 8];288.0;FCT
9;[7, 8];999.0;FCT
9;[8, 1];199.0;FCT
9;[8, 2];114.0;FCT
9;[8, 3];143.0;FCT
9;[8, 4];292.0;FCT
9;[8, 5];288.0;FCT
9;[8, 6];294.0;FCT
9;[8, 7];965.0;FCT
9;[1, 9];25.0;FCT
9;[2, 9];23.0;FCT
9;[3, 9];16.0;FCT
9;[4, 9];44.0;FCT
9;[5, 9];49.0;FCT
9;[6, 9];69.0;FCT
9;[7, 9];435.0;FCT
9;[8, 9];54.0;FCT
9;[9, 1];11.0;FCT
9;[9, 2];9.3;FCT
9;[9, 3];7.7;FCT
9;[9, 4];20.0;FCT
9;[9, 5];24.0;FCT
9;[9, 6];30.0;FCT
9;[9, 7];177.0;FCT
9;[9, 8];25.0;FCT
9;[1, 10];287.0;FCT
9;[2, 10];207.0;FCT
9;[3, 10];222.0;FCT
9;[4, 10];344.0;FCT
9;[5, 10];403.0;FCT
9;[6, 10];317.0;FCT
9;[7, 10];999.0;FCT
9;[8, 10];423.0;FCT
9;[9, 10];44.0;FCT
9;[10, 1];320.0;FCT
9;[10, 2];231.0;FCT
9;[10, 3];264.0;FCT
9;[10, 4];372.0;FCT
9;[10, 5];420.0;FCT
9;[10, 6];316.0;FCT
9;[10, 7];999.0;FCT
9;[10, 8];383.0;FCT
9;[10, 9];98.0;FCT
9;[1, 11];999.0;FCT
9;[2, 11];973.0;FCT
9;[3, 11];897.0;FCT
9;[4, 11];999.0;FCT
9;[5, 11];999.0;FCT
9;[6, 11];999.0;FCT
9;[7, 11];999.0;FCT
9;[8, 11];999.0;FCT
9;[9, 11];209.0;FCT
9;[10, 11];902.0;FCT
9;[11, 1];999.0;FCT
9;[11, 2];999.0;FCT
9;[11, 3];999.0;FCT
9;[11, 4];999.0;FCT
9;[11, 5];999.0;FCT
9;[11, 6];999.0;FCT
9;[11, 7];999.0;FCT
9;[11, 8];999.0;FCT
9;[11, 9];492.0;FCT
9;[11, 10];999.0;FCT
9;[1, 12];836.0;FCT
9;[2, 12];859.0;FCT
9;[3, 12];712.0;FCT
9;[4, 12];999.0;FCT
9;[5, 12];999.0;FCT
9;[6, 12];999.0;FCT
9;[7, 12];999.0;FCT
9;[8, 12];999.0;FCT
9;[9, 12];167.0;FCT
9;[10, 12];904.0;FCT
9;[11, 12];999.0;FCT
9;[12, 1];999.0;FCT
9;[12, 2];999.0;FCT
9;[12, 3];999.0;FCT
9;[12, 4];999.0;FCT
9;[12, 5];999.0;FCT
9;[12, 6];999.0;FCT
9;[12, 7];999.0;FCT
9;[12, 8];999.0;FCT
9;[12, 9];378.0;FCT
9;[12, 10];999.0;FCT
9;[12, 11];999.0;FCT
9;[1, 2, 3, 4];43.0;FF
9;[1, 2, 3, 5];89.0;FF
9;[1, 2, 4, 5];208.0;FF
9;[1, 3, 4, 5];178.0;FF
9;[2, 3, 4, 5];151.0;FF
9;[1, 2, 3, 6];98.0;FF
9;[1, 2, 4, 6];205.0;FF
9;[1, 3, 4, 6];178.0;FF
9;[2, 3, 4, 6];132.0;FF
9;[1, 2, 5, 6];373.0;FF
9;[1, 3, 5, 6];347.0;FF
9;[2, 3, 5, 6];271.0;FF
9;[1, 4, 5, 6];570.0;FF
9;[2, 4, 5, 6];348.0;FF
9;[3, 4, 5, 6];359.0;FF
9;[1, 2, 3, 7];637.0;FF
9;[1, 2, 4, 7];999.0;FF
9;[1, 3, 4, 7];999.0;FF
9;[2, 3, 4, 7];999.0;FF
9;[1, 2, 5, 7];999.0;FF
9;[1, 3, 5, 7];999.0;FF
9;[2, 3, 5, 7];999.0;FF
9;[1, 4, 5, 7];999.0;FF
9;[2, 4, 5, 7];999.0;FF
9;[3, 4, 5, 7];999.0;FF
9;[1, 2, 6, 7];999.0;FF
9;[1, 3, 6, 7];999.0;FF
9;[2, 3, 6, 7];999.0;FF
9;[1, 4, 6, 7];999.0;FF
9;[2, 4, 6, 7];999.0;FF
9;[3, 4, 6, 7];999.0;FF
9;[1, 5, 6, 7];999.0;FF
9;[2, 5, 6, 7];999.0;FF
9;[3, 5, 6, 7];999.0;FF
9;[4, 5, 6, 7];999.0;FF
9;[1, 2, 3, 8];133.0;FF
9;[1, 2, 4, 8];261.0;FF
9;[1, 3, 4, 8];278.0;FF
9;[2, 3, 4, 8];194.0;FF
9;[1, 2, 5, 8];399.0;FF
9;[1, 3, 5, 8];383.0;FF
9;[2, 3, 5, 8];267.0;FF
9;[1, 4, 5, 8];754.0;FF
9;[2, 4, 5, 8];556.0;FF
9;[3, 4, 5, 8];442.0;FF
9;[1, 2, 6, 8];379.0;FF
9;[1, 3, 6, 8];344.0;FF
9;[2, 3, 6, 8];237.0;FF
9;[1, 4, 6, 8];608.0;FF
9;[2, 4, 6, 8];430.0;FF
9;[3, 4, 6, 8];367.0;FF
9;[1, 5, 6, 8];804.0;FF
9;[2, 5, 6, 8];699.0;FF
9;[3, 5, 6, 8];577.0;FF
9;[4, 5, 6, 8];952.0;FF
9;[1, 2, 7, 8];999.0;FF
9;[1, 3, 7, 8];999.0;FF
9;[2, 3, 7, 8];999.0;FF
9;[1, 4, 7, 8];999.0;FF
9;[2, 4, 7, 8];999.0;FF
9;[3, 4, 7, 8];999.0;FF
9;[1, 5, 7, 8];999.0;FF
9;[2, 5, 7, 8];999.0;FF
9;[3, 5, 7, 8];999.0;FF
9;[4, 5, 7, 8];999.0;FF
9;[1, 6, 7, 8];999.0;FF
9;[2, 6, 7, 8];999.0;FF
9;[3, 6, 7, 8];999.0;FF
9;[4, 6, 7, 8];999.0;FF
9;[5, 6, 7, 8];999.0;FF
9;[1, 2, 3, 9];8.4;FF
9;[1, 2, 4, 9];26.0;FF
9;[1, 3, 4, 9];20.0;FF
9;[2, 3, 4, 9];15.0;FF
9;[1, 2, 5, 9];44.0;FF
9;[1, 3, 5, 9];35.0;FF
9;[2, 3, 5, 9];29.0;FF
9;[1, 4, 5, 9];82.0;FF
9;[2, 4, 5, 9];64.0;FF
9;[3, 4, 5, 9];51.0;FF
9;[1, 2, 6, 9];47.0;FF
9;[1, 3, 6, 9];33.0;FF
9;[2, 3, 6, 9];25.0;FF
9;[1, 4, 6, 9];69.0;FF
9;[2, 4, 6, 9];54.0;FF
9;[3, 4, 6, 9];37.0;FF
9;[1, 5, 6, 9];135.0;FF
9;[2, 5, 6, 9];103.0;FF
9;[3, 5, 6, 9];82.0;FF
9;[4, 5, 6, 9];148.0;FF
9;[1, 2, 7, 9];332.0;FF
9;[1, 3, 7, 9];258.0;FF
9;[2, 3, 7, 9];196.0;FF
9;[1, 4, 7, 9];506.0;FF
9;[2, 4, 7, 9];463.0;FF
9;[3, 4, 7, 9];349.0;FF
9;[1, 5, 7, 9];815.0;FF
9;[2, 5, 7, 9];603.0;FF
9;[3, 5, 7, 9];520.0;FF
9;[4, 5, 7, 9];999.0;FF
9;[1, 6, 7, 9];742.0;FF
9;[2, 6, 7, 9];638.0;FF
9;[3, 6, 7, 9];364.0;FF
9;[4, 6, 7, 9];861.0;FF
9;[5, 6, 7, 9];999.0;FF
9;[1, 2, 8, 9];55.0;FF
9;[1, 3, 8, 9];47.0;FF
9;[2, 3, 8, 9];31.0;FF
9;[1, 4, 8, 9];88.0;FF
9;[2, 4, 8, 9];67.0;FF
9;[3, 4, 8, 9];57.0;FF
9;[1, 5, 8, 9];151.0;FF
9;[2, 5, 8, 9];110.0;FF
9;[3, 5, 8, 9];91.0;FF
9;[4, 5, 8, 9];160.0;FF
9;[1, 6, 8, 9];105.0;FF
9;[2, 6, 8, 9];88.0;FF
9;[3, 6, 8, 9];64.0;FF
9;[4, 6, 8, 9];122.0;FF
9;[5, 6, 8, 9];192.0;FF
9;[1, 7, 8, 9];832.0;FF
9;[2, 7, 8, 9];745.0;FF
9;[3, 7, 8, 9];526.0;FF
9;[4, 7, 8, 9];999.0;FF
9;[5, 7, 8, 9];999.0;FF
9;[6, 7, 8, 9];951.0;FF
9;[1, 2, 3, 10];185.0;FF
9;[1, 2, 4, 10];416.0;FF
9;[1, 3, 4, 10];418.0;FF
9;[2, 3, 4, 10];319.0;FF
9;[1, 2, 5, 10];566.0;FF
9;[1, 3, 5, 10];501.0;FF
9;[2, 3, 5, 10];440.0;FF
9;[1, 4, 5, 10];973.0;FF
9;[2, 4, 5, 10];853.0;FF
9;[3, 4, 5, 10];723.0;FF
9;[1, 2, 6, 10];569.0;FF
9;[1, 3, 6, 10];484.0;FF
9;[2, 3, 6, 10];407.0;FF
9;[1, 4, 6, 10];865.0;FF
9;[2, 4, 6, 10];729.0;FF
9;[3, 4, 6, 10];618.0;FF
9;[1, 5, 6, 10];999.0;FF
9;[2, 5, 6, 10];954.0;FF
9;[3, 5, 6, 10];984.0;FF
9;[4, 5, 6, 10];999.0;FF
9;[1, 2, 7, 10];999.0;FF
9;[1, 3, 7, 10];999.0;FF
9;[2, 3, 7, 10];999.0;FF
9;[1, 4, 7, 10];999.0;FF
9;[2, 4, 7, 10];999.0;FF
9;[3, 4, 7, 10];999.0;FF
9;[1, 5, 7, 10];999.0;FF
9;[2, 5, 7, 10];999.0;FF
9;[3, 5, 7, 10];999.0;FF
9;[4, 5, 7, 10];999.0;FF
9;[1, 6, 7, 10];999.0;FF
9;[2, 6, 7, 10];999.0;FF
9;[3, 6, 7, 10];999.0;FF
9;[4, 6, 7, 10];999.0;FF
9;[5, 6, 7, 10];999.0;FF
9;[1, 2, 8, 10];586.0;FF
9;[1, 3, 8, 10];620.0;FF
9;[2, 3, 8, 10];432.0;FF
9;[1, 4, 8, 10];999.0;FF
9;[2, 4, 8, 10];895.0;FF
9;[3, 4, 8, 10];899.0;FF
9;[1, 5, 8, 10];999.0;FF
9;[2, 5, 8, 10];999.0;FF
9;[3, 5, 8, 10];999.0;FF
9;[4, 5, 8, 10];999.0;FF
9;[1, 6, 8, 10];999.0;FF
9;[2, 6, 8, 10];999.0;FF
9;[3, 6, 8, 10];704.0;FF
9;[4, 6, 8, 10];999.0;FF
9;[5, 6, 8, 10];999.0;FF
9;[1, 7, 8, 10];999.0;FF
9;[2, 7, 8, 10];999.0;FF
9;[3, 7, 8, 10];999.0;FF
9;[4, 7, 8, 10];999.0;FF
9;[5, 7, 8, 10];999.0;FF
9;[6, 7, 8, 10];999.0;FF
9;[1, 2, 9, 10];69.0;FF
9;[1, 3, 9, 10];73.0;FF
9;[2, 3, 9, 10];51.0;FF
9;[1, 4, 9, 10];153.0;FF
9;[2, 4, 9, 10];117.0;FF
9;[3, 4, 9, 10];96.0;FF
9;[1, 5, 9, 10];212.0;FF
9;[2, 5, 9, 10];173.0;FF
9;[3, 5, 9, 10];139.0;FF
9;[4, 5, 9, 10];285.0;FF
9;[1, 6, 9, 10];185.0;FF
9;[2, 6, 9, 10];135.0;FF
9;[3, 6, 9, 10];102.0;FF
9;[4, 6, 9, 10];238.0;FF
9;[5, 6, 9, 10];345.0;FF
9;[1, 7, 9, 10];999.0;FF
9;[2, 7, 9, 10];999.0;FF
9;[3, 7, 9, 10];820.0;FF
9;[4, 7, 9, 10];999.0;FF
9;[5, 7, 9, 10];999.0;FF
9;[6, 7, 9, 10];999.0;FF
9;[1, 8, 9, 10];204.0;FF
9;[2, 8, 9, 10];162.0;FF
9;[3, 8, 9, 10];143.0;FF
9;[4, 8, 9, 10];260.0;FF
9;[5, 8, 9, 10];370.0;FF
9;[6, 8, 9, 10];259.0;FF
9;[7, 8, 9, 10];999.0;FF
9;[1, 2, 3, 11];805.0;FF
9;[1, 2, 4, 11];999.0;FF
9;[1, 3, 4, 11];999.0;FF
9;[2, 3, 4, 11];999.0;FF
9;[1, 2, 5, 11];999.0;FF
9;[1, 3, 5, 11];999.0;FF
9;[2, 3, 5, 11];999.0;FF
9;[1, 4, 5, 11];999.0;FF
9;[2, 4, 5, 11];999.0;FF
9;[3, 4, 5, 11];999.0;FF
9;[1, 2, 6, 11];999.0;FF
9;[1, 3, 6, 11];999.0;FF
9;[2, 3, 6, 11];999.0;FF
9;[1, 4, 6, 11];999.0;FF
9;[2, 4, 6, 11];999.0;FF
