race;horseNumber;odds;type
[3, 4];[1, 1];217.0;DBL
[3, 4];[2, 1];332.0;DBL
[3, 4];[3, 1];271.0;DBL
[3, 4];[4, 1];226.0;DBL
[3, 4];[5, 1];455.0;DBL
[3, 4];[6, 1];347.0;DBL
[3, 4];[7, 1];333.0;DBL
[3, 4];[8, 1];226.0;DBL
[3, 4];[9, 1];780.0;DBL
[3, 4];[10, 1];181.0;DBL
[3, 4];[11, 1];222.0;DBL
[3, 4];[1, 2];79.0;DBL
[3, 4];[2, 2];36.0;DBL
[3, 4];[3, 2];34.0;DBL
[3, 4];[4, 2];24.0;DBL
[3, 4];[5, 2];46.0;DBL
[3, 4];[6, 2];44.0;DBL
[3, 4];[7, 2];24.0;DBL
[3, 4];[8, 2];25.0;DBL
[3, 4];[9, 2];101.0;DBL
[3, 4];[10, 2];11.0;DBL
[3, 4];[11, 2];22.0;DBL
[3, 4];[1, 3];143.0;DBL
[3, 4];[2, 3];73.0;DBL
[3, 4];[3, 3];45.0;DBL
[3, 4];[4, 3];32.0;DBL
[3, 4];[5, 3];85.0;DBL
[3, 4];[6, 3];68.0;DBL
[3, 4];[7, 3];50.0;DBL
[3, 4];[8, 3];43.0;DBL
[3, 4];[9, 3];182.0;DBL
[3, 4];[10, 3];29.0;DBL
[3, 4];[11, 3];35.0;DBL
[3, 4];[1, 4];153.0;DBL
[3, 4];[2, 4];88.0;DBL
[3, 4];[3, 4];66.0;DBL
[3, 4];[4, 4];58.0;DBL
[3, 4];[5, 4];123.0;DBL
[3, 4];[6, 4];92.0;DBL
[3, 4];[7, 4];72.0;DBL
[3, 4];[8, 4];41.0;DBL
[3, 4];[9, 4];259.0;DBL
[3, 4];[10, 4];34.0;DBL
[3, 4];[11, 4];52.0;DBL
[3, 4];[1, 5];192.0;DBL
[3, 4];[2, 5];161.0;DBL
[3, 4];[3, 5];96.0;DBL
[3, 4];[4, 5];90.0;DBL
[3, 4];[5, 5];188.0;DBL
[3, 4];[6, 5];152.0;DBL
[3, 4];[7, 5];122.0;DBL
[3, 4];[8, 5];91.0;DBL
[3, 4];[9, 5];419.0;DBL
[3, 4];[10, 5];75.0;DBL
[3, 4];[11, 5];97.0;DBL
[3, 4];[1, 6];484.0;DBL
[3, 4];[2, 6];389.0;DBL
[3, 4];[3, 6];245.0;DBL
[3, 4];[4, 6];227.0;DBL
[3, 4];[5, 6];423.0;DBL
[3, 4];[6, 6];307.0;DBL
[3, 4];[7, 6];226.0;DBL
[3, 4];[8, 6];214.0;DBL
[3, 4];[9, 6];403.0;DBL
[3, 4];[10, 6];139.0;DBL
[3, 4];[11, 6];225.0;DBL
[3, 4];[1, 7];519.0;DBL
[3, 4];[2, 7];299.0;DBL
[3, 4];[3, 7];307.0;DBL
[3, 4];[4, 7];250.0;DBL
[3, 4];[5, 7];357.0;DBL
[3, 4];[6, 7];303.0;DBL
[3, 4];[7, 7];222.0;DBL
[3, 4];[8, 7];214.0;DBL
[3, 4];[9, 7];763.0;DBL
[3, 4];[10, 7];119.0;DBL
[3, 4];[11, 7];174.0;DBL
[3, 4];[1, 8];999.0;DBL
[3, 4];[2, 8];999.0;DBL
[3, 4];[3, 8];999.0;DBL
[3, 4];[4, 8];999.0;DBL
[3, 4];[5, 8];999.0;DBL
[3, 4];[6, 8];999.0;DBL
[3, 4];[7, 8];999.0;DBL
[3, 4];[8, 8];687.0;DBL
[3, 4];[9, 8];999.0;DBL
[3, 4];[10, 8];860.0;DBL
[3, 4];[11, 8];977.0;DBL
[3, 4];[1, 9];102.0;DBL
[3, 4];[2, 9];88.0;DBL
[3, 4];[3, 9];38.0;DBL
[3, 4];[4, 9];45.0;DBL
[3, 4];[5, 9];109.0;DBL
[3, 4];[6, 9];76.0;DBL
[3, 4];[7, 9];48.0;DBL
[3, 4];[8, 9];33.0;DBL
[3, 4];[9, 9];233.0;DBL
[3, 4];[10, 9];20.0;DBL
[3, 4];[11, 9];29.0;DBL
[3, 4];[1, 10];407.0;DBL
[3, 4];[2, 10];227.0;DBL
[3, 4];[3, 10];189.0;DBL
[3, 4];[4, 10];147.0;DBL
[3, 4];[5, 10];195.0;DBL
[3, 4];[6, 10];244.0;DBL
[3, 4];[7, 10];131.0;DBL
[3, 4];[8, 10];145.0;DBL
[3, 4];[9, 10];346.0;DBL
[3, 4];[10, 10];91.0;DBL
[3, 4];[11, 10];130.0;DBL
[3, 4];[1, 11];249.0;DBL
[3, 4];[2, 11];124.0;DBL
[3, 4];[3, 11];113.0;DBL
[3, 4];[4, 11];79.0;DBL
[3, 4];[5, 11];91.0;DBL
[3, 4];[6, 11];111.0;DBL
[3, 4];[7, 11];74.0;DBL
[3, 4];[8, 11];79.0;DBL
[3, 4];[9, 11];320.0;DBL
[3, 4];[10, 11];47.0;DBL
[3, 4];[11, 11];62.0;DBL
[3, 4];[1, 12];496.0;DBL
[3, 4];[2, 12];325.0;DBL
[3, 4];[3, 12];173.0;DBL
[3, 4];[4, 12];185.0;DBL
[3, 4];[5, 12];381.0;DBL
[3, 4];[6, 12];338.0;DBL
[3, 4];[7, 12];221.0;DBL
[3, 4];[8, 12];209.0;DBL
[3, 4];[9, 12];323.0;DBL
[3, 4];[10, 12];140.0;DBL
[3, 4];[11, 12];200.0;DBL
3;[1, 2];167.0;FCT
3;[2, 1];161.0;FCT
3;[1, 3];135.0;FCT
3;[2, 3];93.0;FCT
3;[3, 1];139.0;FCT
3;[3, 2];98.0;FCT
3;[1, 4];288.0;FCT
3;[2, 4];133.0;FCT
3;[3, 4];82.0;FCT
3;[4, 1];249.0;FCT
3;[4, 2];129.0;FCT
3;[4, 3];76.0;FCT
3;[1, 5];289.0;FCT
3;[2, 5];154.0;FCT
3;[3, 5];198.0;FCT
3;[4, 5];171.0;FCT
3;[5, 1];278.0;FCT
3;[5, 2];167.0;FCT
3;[5, 3];191.0;FCT
3;[5, 4];200.0;FCT
3;[1, 6];150.0;FCT
3;[2, 6];104.0;FCT
3;[3, 6];112.0;FCT
3;[4, 6];104.0;FCT
3;[5, 6];189.0;FCT
3;[6, 1];125.0;FCT
3;[6, 2];95.0;FCT
3;[6, 3];93.0;FCT
3;[6, 4];111.0;FCT
3;[6, 5];161.0;FCT
3;[1, 7];201.0;FCT
3;[2, 7];118.0;FCT
3;[3, 7];121.0;FCT
3;[4, 7];125.0;FCT
3;[5, 7];231.0;FCT
3;[6, 7];119.0;FCT
3;[7, 1];195.0;FCT
3;[7, 2];116.0;FCT
3;[7, 3];116.0;FCT
3;[7, 4];130.0;FCT
3;[7, 5];204.0;FCT
3;[7, 6];142.0;FCT
3;[1, 8];100.0;FCT
3;[2, 8];66.0;FCT
3;[3, 8];54.0;FCT
3;[4, 8];64.0;FCT
3;[5, 8];139.0;FCT
3;[6, 8];75.0;FCT
3;[7, 8];88.0;FCT
3;[8, 1];86.0;FCT
3;[8, 2];62.0;FCT
3;[8, 3];47.0;FCT
3;[8, 4];55.0;FCT
3;[8, 5];108.0;FCT
3;[8, 6];82.0;FCT
3;[8, 7];74.0;FCT
3;[1, 9];304.0;FCT
3;[2, 9];152.0;FCT
3;[3, 9];177.0;FCT
3;[4, 9];262.0;FCT
3;[5, 9];304.0;FCT
3;[6, 9];173.0;FCT
3;[7, 9];186.0;FCT
3;[8, 9];110.0;FCT
3;[9, 1];282.0;FCT
3;[9, 2];163.0;FCT
3;[9, 3];168.0;FCT
3;[9, 4];301.0;FCT
3;[9, 5];293.0;FCT
3;[9, 6];197.0;FCT
3;[9, 7];188.0;FCT
3;[9, 8];121.0;FCT
3;[1, 10];82.0;FCT
3;[2, 10];49.0;FCT
3;[3, 10];54.0;FCT
3;[4, 10];61.0;FCT
3;[5, 10];93.0;FCT
3;[6, 10];50.0;FCT
3;[7, 10];67.0;FCT
3;[8, 10];29.0;FCT
3;[9, 10];92.0;FCT
3;[10, 1];59.0;FCT
3;[10, 2];37.0;FCT
3;[10, 3];37.0;FCT
3;[10, 4];48.0;FCT
3;[10, 5];63.0;FCT
3;[10, 6];43.0;FCT
3;[10, 7];48.0;FCT
3;[10, 8];26.0;FCT
3;[10, 9];66.0;FCT
3;[1, 11];125.0;FCT
3;[2, 11];71.0;FCT
3;[3, 11];66.0;FCT
3;[4, 11];78.0;FCT
3;[5, 11];151.0;FCT
3;[6, 11];80.0;FCT
3;[7, 11];81.0;FCT
3;[8, 11];37.0;FCT
3;[9, 11];136.0;FCT
3;[10, 11];28.0;FCT
3;[11, 1];112.0;FCT
3;[11, 2];66.0;FCT
3;[11, 3];58.0;FCT
3;[11, 4];72.0;FCT
3;[11, 5];121.0;FCT
3;[11, 6];82.0;FCT
3;[11, 7];75.0;FCT
3;[11, 8];40.0;FCT
3;[11, 9];121.0;FCT
3;[11, 10];34.0;FCT
3;[1, 2, 3, 4];378.0;FF
3;[1, 2, 3, 5];706.0;FF
3;[1, 2, 4, 5];999.0;FF
3;[1, 3, 4, 5];541.0;FF
3;[2, 3, 4, 5];433.0;FF
3;[1, 2, 3, 6];385.0;FF
3;[1, 2, 4, 6];665.0;FF
3;[1, 3, 4, 6];486.0;FF
3;[2, 3, 4, 6];400.0;FF
3;[1, 2, 5, 6];677.0;FF
3;[1, 3, 5, 6];673.0;FF
3;[2, 3, 5, 6];498.0;FF
3;[1, 4, 5, 6];999.0;FF
3;[2, 4, 5, 6];657.0;FF
3;[3, 4, 5, 6];462.0;FF
3;[1, 2, 3, 7];586.0;FF
3;[1, 2, 4, 7];999.0;FF
3;[1, 3, 4, 7];496.0;FF
3;[2, 3, 4, 7];419.0;FF
3;[1, 2, 5, 7];999.0;FF
3;[1, 3, 5, 7];968.0;FF
3;[2, 3, 5, 7];793.0;FF
3;[1, 4, 5, 7];999.0;FF
3;[2, 4, 5, 7];871.0;FF
3;[3, 4, 5, 7];528.0;FF
3;[1, 2, 6, 7];571.0;FF
3;[1, 3, 6, 7];519.0;FF
3;[2, 3, 6, 7];439.0;FF
3;[1, 4, 6, 7];903.0;FF
3;[2, 4, 6, 7];597.0;FF
3;[3, 4, 6, 7];345.0;FF
3;[1, 5, 6, 7];999.0;FF
3;[2, 5, 6, 7];762.0;FF
3;[3, 5, 6, 7];787.0;FF
3;[4, 5, 6, 7];556.0;FF
3;[1, 2, 3, 8];286.0;FF
3;[1, 2, 4, 8];612.0;FF
3;[1, 3, 4, 8];177.0;FF
3;[2, 3, 4, 8];190.0;FF
3;[1, 2, 5, 8];661.0;FF
3;[1, 3, 5, 8];471.0;FF
3;[2, 3, 5, 8];354.0;FF
3;[1, 4, 5, 8];867.0;FF
3;[2, 4, 5, 8];453.0;FF
3;[3, 4, 5, 8];286.0;FF
3;[1, 2, 6, 8];317.0;FF
3;[1, 3, 6, 8];229.0;FF
3;[2, 3, 6, 8];212.0;FF
3;[1, 4, 6, 8];413.0;FF
3;[2, 4, 6, 8];238.0;FF
3;[3, 4, 6, 8];157.0;FF
3;[1, 5, 6, 8];588.0;FF
3;[2, 5, 6, 8];406.0;FF
3;[3, 5, 6, 8];368.0;FF
3;[4, 5, 6, 8];457.0;FF
3;[1, 2, 7, 8];414.0;FF
3;[1, 3, 7, 8];235.0;FF
3;[2, 3, 7, 8];245.0;FF
3;[1, 4, 7, 8];372.0;FF
3;[2, 4, 7, 8];296.0;FF
3;[3, 4, 7, 8];101.0;FF
3;[1, 5, 7, 8];811.0;FF
3;[2, 5, 7, 8];540.0;FF
3;[3, 5, 7, 8];413.0;FF
3;[4, 5, 7, 8];411.0;FF
3;[1, 6, 7, 8];373.0;FF
3;[2, 6, 7, 8];330.0;FF
3;[3, 6, 7, 8];225.0;FF
3;[4, 6, 7, 8];246.0;FF
3;[5, 6, 7, 8];503.0;FF
3;[1, 2, 3, 9];915.0;FF
3;[1, 2, 4, 9];999.0;FF
3;[1, 3, 4, 9];999.0;FF
3;[2, 3, 4, 9];695.0;FF
3;[1, 2, 5, 9];999.0;FF
3;[1, 3, 5, 9];999.0;FF
3;[2, 3, 5, 9];999.0;FF
3;[1, 4, 5, 9];999.0;FF
3;[2, 4, 5, 9];999.0;FF
3;[3, 4, 5, 9];999.0;FF
3;[1, 2, 6, 9];732.0;FF
3;[1, 3, 6, 9];729.0;FF
3;[2, 3, 6, 9];680.0;FF
3;[1, 4, 6, 9];999.0;FF
3;[2, 4, 6, 9];999.0;FF
3;[3, 4, 6, 9];820.0;FF
3;[1, 5, 6, 9];999.0;FF
3;[2, 5, 6, 9];858.0;FF
3;[3, 5, 6, 9];999.0;FF
3;[4, 5, 6, 9];999.0;FF
3;[1, 2, 7, 9];999.0;FF
3;[1, 3, 7, 9];874.0;FF
3;[2, 3, 7, 9];649.0;FF
3;[1, 4, 7, 9];999.0;FF
3;[2, 4, 7, 9];999.0;FF
3;[3, 4, 7, 9];693.0;FF
3;[1, 5, 7, 9];999.0;FF
3;[2, 5, 7, 9];999.0;FF
3;[3, 5, 7, 9];999.0;FF
3;[4, 5, 7, 9];999.0;FF
3;[1, 6, 7, 9];999.0;FF
3;[2, 6, 7, 9];826.0;FF
3;[3, 6, 7, 9];682.0;FF
3;[4, 6, 7, 9];999.0;FF
3;[5, 6, 7, 9];999.0;FF
3;[1, 2, 8, 9];630.0;FF
3;[1, 3, 8, 9];535.0;FF
3;[2, 3, 8, 9];327.0;FF
3;[1, 4, 8, 9];999.0;FF
3;[2, 4, 8, 9];506.0;FF
3;[3, 4, 8, 9];347.0;FF
3;[1, 5, 8, 9];999.0;FF
3;[2, 5, 8, 9];695.0;FF
3;[3, 5, 8, 9];703.0;FF
3;[4, 5, 8, 9];823.0;FF
3;[1, 6, 8, 9];618.0;FF
3;[2, 6, 8, 9];453.0;FF
3;[3, 6, 8, 9];407.0;FF
3;[4, 6, 8, 9];646.0;FF
3;[5, 6, 8, 9];821.0;FF
3;[1, 7, 8, 9];634.0;FF
3;[2, 7, 8, 9];456.0;FF
3;[3, 7, 8, 9];350.0;FF
3;[4, 7, 8, 9];439.0;FF
3;[5, 7, 8, 9];869.0;FF
3;[6, 7, 8, 9];438.0;FF
3;[1, 2, 3, 10];228.0;FF
3;[1, 2, 4, 10];504.0;FF
3;[1, 3, 4, 10];188.0;FF
3;[2, 3, 4, 10];158.0;FF
3;[1, 2, 5, 10];412.0;FF
3;[1, 3, 5, 10];362.0;FF
3;[2, 3, 5, 10];249.0;FF
3;[1, 4, 5, 10];727.0;FF
3;[2, 4, 5, 10];364.0;FF
3;[3, 4, 5, 10];222.0;FF
3;[1, 2, 6, 10];220.0;FF
3;[1, 3, 6, 10];170.0;FF
3;[2, 3, 6, 10];140.0;FF
3;[1, 4, 6, 10];364.0;FF
3;[2, 4, 6, 10];266.0;FF
3;[3, 4, 6, 10];134.0;FF
3;[1, 5, 6, 10];360.0;FF
3;[2, 5, 6, 10];202.0;FF
3;[3, 5, 6, 10];251.0;FF
3;[4, 5, 6, 10];335.0;FF
3;[1, 2, 7, 10];320.0;FF
3;[1, 3, 7, 10];207.0;FF
3;[2, 3, 7, 10];190.0;FF
3;[1, 4, 7, 10];308.0;FF
3;[2, 4, 7, 10];249.0;FF
3;[3, 4, 7, 10];88.0;FF
3;[1, 5, 7, 10];461.0;FF
3;[2, 5, 7, 10];367.0;FF
3;[3, 5, 7, 10];320.0;FF
3;[4, 5, 7, 10];242.0;FF
3;[1, 6, 7, 10];272.0;FF
3;[2, 6, 7, 10];218.0;FF
3;[3, 6, 7, 10];176.0;FF
3;[4, 6, 7, 10];192.0;FF
3;[5, 6, 7, 10];354.0;FF
3;[1, 2, 8, 10];154.0;FF
3;[1, 3, 8, 10];59.0;FF
3;[2, 3, 8, 10];71.0;FF
3;[1, 4, 8, 10];122.0;FF
3;[2, 4, 8, 10];105.0;FF
3;[3, 4, 8, 10];33.0;FF
3;[1, 5, 8, 10];254.0;FF
3;[2, 5, 8, 10];166.0;FF
