race;horseNumber;odds;type
[9, 10];[1, 1];211.0;DBL
[9, 10];[2, 1];999.0;DBL
[9, 10];[3, 1];709.0;DBL
[9, 10];[4, 1];182.0;DBL
[9, 10];[5, 1];65.0;DBL
[9, 10];[6, 1];999.0;DBL
[9, 10];[7, 1];225.0;DBL
[9, 10];[8, 1];172.0;DBL
[9, 10];[9, 1];999.0;DBL
[9, 10];[10, 1];999.0;DBL
[9, 10];[11, 1];195.0;DBL
[9, 10];[12, 1];999.0;DBL
[9, 10];[13, 1];277.0;DBL
[9, 10];[14, 1];268.0;DBL
[9, 10];[1, 2];41.0;DBL
[9, 10];[2, 2];590.0;DBL
[9, 10];[3, 2];189.0;DBL
[9, 10];[4, 2];23.0;DBL
[9, 10];[5, 2];11.0;DBL
[9, 10];[6, 2];642.0;DBL
[9, 10];[7, 2];108.0;DBL
[9, 10];[8, 2];68.0;DBL
[9, 10];[9, 2];275.0;DBL
[9, 10];[10, 2];551.0;DBL
[9, 10];[11, 2];42.0;DBL
[9, 10];[12, 2];999.0;DBL
[9, 10];[13, 2];91.0;DBL
[9, 10];[14, 2];76.0;DBL
[9, 10];[1, 3];35.0;DBL
[9, 10];[2, 3];999.0;DBL
[9, 10];[3, 3];339.0;DBL
[9, 10];[4, 3];64.0;DBL
[9, 10];[5, 3];32.0;DBL
[9, 10];[6, 3];904.0;DBL
[9, 10];[7, 3];205.0;DBL
[9, 10];[8, 3];93.0;DBL
[9, 10];[9, 3];370.0;DBL
[9, 10];[10, 3];949.0;DBL
[9, 10];[11, 3];102.0;DBL
[9, 10];[12, 3];999.0;DBL
[9, 10];[13, 3];198.0;DBL
[9, 10];[14, 3];167.0;DBL
[9, 10];[1, 4];999.0;DBL
[9, 10];[2, 4];999.0;DBL
[9, 10];[3, 4];999.0;DBL
[9, 10];[4, 4];563.0;DBL
[9, 10];[5, 4];279.0;DBL
[9, 10];[6, 4];999.0;DBL
[9, 10];[7, 4];999.0;DBL
[9, 10];[8, 4];785.0;DBL
[9, 10];[9, 4];999.0;DBL
[9, 10];[10, 4];999.0;DBL
[9, 10];[11, 4];938.0;DBL
[9, 10];[12, 4];999.0;DBL
[9, 10];[13, 4];999.0;DBL
[9, 10];[14, 4];792.0;DBL
[9, 10];[1, 5];642.0;DBL
[9, 10];[2, 5];999.0;DBL
[9, 10];[3, 5];821.0;DBL
[9, 10];[4, 5];492.0;DBL
[9, 10];[5, 5];222.0;DBL
[9, 10];[6, 5];999.0;DBL
[9, 10];[7, 5];734.0;DBL
[9, 10];[8, 5];682.0;DBL
[9, 10];[9, 5];999.0;DBL
[9, 10];[10, 5];999.0;DBL
[9, 10];[11, 5];565.0;DBL
[9, 10];[12, 5];999.0;DBL
[9, 10];[13, 5];999.0;DBL
[9, 10];[14, 5];739.0;DBL
[9, 10];[1, 6];87.0;DBL
[9, 10];[2, 6];999.0;DBL
[9, 10];[3, 6];285.0;DBL
[9, 10];[4, 6];59.0;DBL
[9, 10];[5, 6];37.0;DBL
[9, 10];[6, 6];858.0;DBL
[9, 10];[7, 6];175.0;DBL
[9, 10];[8, 6];113.0;DBL
[9, 10];[9, 6];516.0;DBL
[9, 10];[10, 6];999.0;DBL
[9, 10];[11, 6];70.0;DBL
[9, 10];[12, 6];999.0;DBL
