race;horseNumber;odds;type
[2, 3];[1, 1];196.0;DBL
[2, 3];[2, 1];44.0;DBL
[2, 3];[3, 1];9.4;DBL
[2, 3];[4, 1];439.0;DBL
[2, 3];[5, 1];6.0;DBL
[2, 3];[6, 1];38.0;DBL
[2, 3];[7, 1];40.0;DBL
[2, 3];[8, 1];48.0;DBL
[2, 3];[9, 1];621.0;DBL
[2, 3];[10, 1];14.0;DBL
[2, 3];[11, 1];87.0;DBL
[2, 3];[12, 1];428.0;DBL
[2, 3];[1, 2];275.0;DBL
[2, 3];[2, 2];85.0;DBL
[2, 3];[3, 2];10.0;DBL
[2, 3];[4, 2];899.0;DBL
[2, 3];[5, 2];11.0;DBL
[2, 3];[6, 2];55.0;DBL
[2, 3];[7, 2];65.0;DBL
[2, 3];[8, 2];72.0;DBL
[2, 3];[9, 2];930.0;DBL
[2, 3];[10, 2];28.0;DBL
[2, 3];[11, 2];167.0;DBL
[2, 3];[12, 2];925.0;DBL
[2, 3];[1, 3];984.0;DBL
[2, 3];[2, 3];412.0;DBL
[2, 3];[3, 3];103.0;DBL
[2, 3];[4, 3];999.0;DBL
[2, 3];[5, 3];50.0;DBL
[2, 3];[6, 3];240.0;DBL
[2, 3];[7, 3];372.0;DBL
[2, 3];[8, 3];381.0;DBL
[2, 3];[9, 3];999.0;DBL
[2, 3];[10, 3];215.0;DBL
[2, 3];[11, 3];638.0;DBL
[2, 3];[12, 3];999.0;DBL
[2, 3];[1, 4];562.0;DBL
[2, 3];[2, 4];159.0;DBL
[2, 3];[3, 4];48.0;DBL
[2, 3];[4, 4];999.0;DBL
[2, 3];[5, 4];25.0;DBL
[2, 3];[6, 4];123.0;DBL
[2, 3];[7, 4];149.0;DBL
[2, 3];[8, 4];159.0;DBL
[2, 3];[9, 4];999.0;DBL
[2, 3];[10, 4];72.0;DBL
[2, 3];[11, 4];333.0;DBL
[2, 3];[12, 4];999.0;DBL
[2, 3];[1, 5];907.0;DBL
[2, 3];[2, 5];293.0;DBL
[2, 3];[3, 5];42.0;DBL
[2, 3];[4, 5];999.0;DBL
[2, 3];[5, 5];43.0;DBL
[2, 3];[6, 5];131.0;DBL
[2, 3];[7, 5];173.0;DBL
[2, 3];[8, 5];194.0;DBL
[2, 3];[9, 5];999.0;DBL
[2, 3];[10, 5];78.0;DBL
[2, 3];[11, 5];592.0;DBL
[2, 3];[12, 5];999.0;DBL
[2, 3];[1, 6];812.0;DBL
[2, 3];[2, 6];158.0;DBL
[2, 3];[3, 6];47.0;DBL
[2, 3];[4, 6];999.0;DBL
[2, 3];[5, 6];29.0;DBL
[2, 3];[6, 6];122.0;DBL
[2, 3];[7, 6];134.0;DBL
[2, 3];[8, 6];144.0;DBL
[2, 3];[9, 6];999.0;DBL
[2, 3];[10, 6];59.0;DBL
[2, 3];[11, 6];357.0;DBL
[2, 3];[12, 6];999.0;DBL
[2, 3];[1, 7];774.0;DBL
[2, 3];[2, 7];495.0;DBL
[2, 3];[3, 7];157.0;DBL
[2, 3];[4, 7];999.0;DBL
[2, 3];[5, 7];88.0;DBL
[2, 3];[6, 7];399.0;DBL
[2, 3];[7, 7];293.0;DBL
[2, 3];[8, 7];451.0;DBL
[2, 3];[9, 7];999.0;DBL
[2, 3];[10, 7];182.0;DBL
[2, 3];[11, 7];751.0;DBL
[2, 3];[12, 7];999.0;DBL
[2, 3];[1, 8];999.0;DBL
[2, 3];[2, 8];399.0;DBL
[2, 3];[3, 8];242.0;DBL
[2, 3];[4, 8];999.0;DBL
[2, 3];[5, 8];125.0;DBL
[2, 3];[6, 8];631.0;DBL
[2, 3];[7, 8];763.0;DBL
[2, 3];[8, 8];852.0;DBL
[2, 3];[9, 8];999.0;DBL
[2, 3];[10, 8];390.0;DBL
[2, 3];[11, 8];999.0;DBL
[2, 3];[12, 8];999.0;DBL
[2, 3];[1, 9];999.0;DBL
[2, 3];[2, 9];999.0;DBL
[2, 3];[3, 9];489.0;DBL
[2, 3];[4, 9];999.0;DBL
[2, 3];[5, 9];181.0;DBL
[2, 3];[6, 9];999.0;DBL
[2, 3];[7, 9];985.0;DBL
[2, 3];[8, 9];999.0;DBL
[2, 3];[9, 9];999.0;DBL
[2, 3];[10, 9];616.0;DBL
[2, 3];[11, 9];999.0;DBL
[2, 3];[12, 9];999.0;DBL
[2, 3];[1, 10];924.0;DBL
[2, 3];[2, 10];344.0;DBL
[2, 3];[3, 10];103.0;DBL
[2, 3];[4, 10];999.0;DBL
[2, 3];[5, 10];59.0;DBL
[2, 3];[6, 10];236.0;DBL
[2, 3];[7, 10];271.0;DBL
[2, 3];[8, 10];285.0;DBL
[2, 3];[9, 10];999.0;DBL
[2, 3];[10, 10];131.0;DBL
[2, 3];[11, 10];632.0;DBL
[2, 3];[12, 10];999.0;DBL
[2, 3];[1, 11];999.0;DBL
[2, 3];[2, 11];325.0;DBL
[2, 3];[3, 11];110.0;DBL
[2, 3];[4, 11];999.0;DBL
[2, 3];[5, 11];54.0;DBL
[2, 3];[6, 11];207.0;DBL
[2, 3];[7, 11];277.0;DBL
[2, 3];[8, 11];342.0;DBL
[2, 3];[9, 11];999.0;DBL
[2, 3];[10, 11];133.0;DBL
[2, 3];[11, 11];667.0;DBL
[2, 3];[12, 11];999.0;DBL
[2, 3];[1, 12];999.0;DBL
[2, 3];[2, 12];384.0;DBL
[2, 3];[3, 12];114.0;DBL
[2, 3];[4, 12];999.0;DBL
[2, 3];[5, 12];73.0;DBL
[2, 3];[6, 12];297.0;DBL
[2, 3];[7, 12];392.0;DBL
[2, 3];[8, 12];474.0;DBL
[2, 3];[9, 12];999.0;DBL
[2, 3];[10, 12];191.0;DBL
[2, 3];[11, 12];760.0;DBL
[2, 3];[12, 12];999.0;DBL
[2, 3];[1, 13];999.0;DBL
[2, 3];[2, 13];999.0;DBL
[2, 3];[3, 13];386.0;DBL
[2, 3];[4, 13];999.0;DBL
[2, 3];[5, 13];182.0;DBL
[2, 3];[6, 13];940.0;DBL
[2, 3];[7, 13];999.0;DBL
[2, 3];[8, 13];861.0;DBL
[2, 3];[9, 13];999.0;DBL
[2, 3];[10, 13];649.0;DBL
[2, 3];[11, 13];999.0;DBL
[2, 3];[12, 13];999.0;DBL
[2, 3];[1, 14];758.0;DBL
[2, 3];[2, 14];192.0;DBL
[2, 3];[3, 14];44.0;DBL
[2, 3];[4, 14];999.0;DBL
[2, 3];[5, 14];32.0;DBL
[2, 3];[6, 14];116.0;DBL
[2, 3];[7, 14];213.0;DBL
[2, 3];[8, 14];149.0;DBL
[2, 3];[9, 14];999.0;DBL
[2, 3];[10, 14];86.0;DBL
[2, 3];[11, 14];327.0;DBL
[2, 3];[12, 14];999.0;DBL
2;[1, 2];480.0;FCT
2;[2, 1];419.0;FCT
2;[1, 3];298.0;FCT
2;[2, 3];58.0;FCT
2;[3, 1];158.0;FCT
2;[3, 2];40.0;FCT
2;[1, 4];999.0;FCT
2;[2, 4];999.0;FCT
2;[3, 4];433.0;FCT
2;[4, 1];999.0;FCT
2;[4, 2];999.0;FCT
2;[4, 3];785.0;FCT
2;[1, 5];282.0;FCT
2;[2, 5];49.0;FCT
2;[3, 5];12.0;FCT
2;[4, 5];462.0;FCT
2;[5, 1];99.0;FCT
2;[5, 2];22.0;FCT
2;[5, 3];6.9;FCT
2;[5, 4];204.0;FCT
2;[1, 6];999.0;FCT
2;[2, 6];185.0;FCT
2;[3, 6];39.0;FCT
2;[4, 6];999.0;FCT
2;[5, 6];25.0;FCT
2;[6, 1];719.0;FCT
2;[6, 2];166.0;FCT
2;[6, 3];52.0;FCT
2;[6, 4];873.0;FCT
2;[6, 5];47.0;FCT
2;[1, 7];666.0;FCT
2;[2, 7];118.0;FCT
2;[3, 7];37.0;FCT
2;[4, 7];999.0;FCT
2;[5, 7];22.0;FCT
2;[6, 7];139.0;FCT
2;[7, 1];519.0;FCT
2;[7, 2];116.0;FCT
