race;horseNumber;odds;type
[7, 8];[1, 1];16.0;DBL
[7, 8];[2, 1];241.0;DBL
[7, 8];[3, 1];56.0;DBL
[7, 8];[4, 1];0.0;DBL
[7, 8];[5, 1];31.0;DBL
[7, 8];[6, 1];74.0;DBL
[7, 8];[7, 1];20.0;DBL
[7, 8];[8, 1];191.0;DBL
[7, 8];[9, 1];36.0;DBL
[7, 8];[10, 1];144.0;DBL
[7, 8];[11, 1];37.0;DBL
[7, 8];[12, 1];130.0;DBL
[7, 8];[1, 2];70.0;DBL
[7, 8];[2, 2];200.0;DBL
[7, 8];[3, 2];141.0;DBL
[7, 8];[4, 2];0.0;DBL
[7, 8];[5, 2];77.0;DBL
[7, 8];[6, 2];152.0;DBL
[7, 8];[7, 2];60.0;DBL
[7, 8];[8, 2];318.0;DBL
[7, 8];[9, 2];75.0;DBL
[7, 8];[10, 2];269.0;DBL
[7, 8];[11, 2];105.0;DBL
[7, 8];[12, 2];237.0;DBL
[7, 8];[1, 3];252.0;DBL
[7, 8];[2, 3];837.0;DBL
[7, 8];[3, 3];416.0;DBL
[7, 8];[4, 3];0.0;DBL
[7, 8];[5, 3];183.0;DBL
[7, 8];[6, 3];642.0;DBL
[7, 8];[7, 3];221.0;DBL
[7, 8];[8, 3];999.0;DBL
[7, 8];[9, 3];319.0;DBL
[7, 8];[10, 3];999.0;DBL
[7, 8];[11, 3];404.0;DBL
[7, 8];[12, 3];888.0;DBL
[7, 8];[1, 4];86.0;DBL
[7, 8];[2, 4];718.0;DBL
[7, 8];[3, 4];332.0;DBL
[7, 8];[4, 4];0.0;DBL
[7, 8];[5, 4];113.0;DBL
[7, 8];[6, 4];316.0;DBL
[7, 8];[7, 4];56.0;DBL
[7, 8];[8, 4];580.0;DBL
[7, 8];[9, 4];164.0;DBL
[7, 8];[10, 4];258.0;DBL
[7, 8];[11, 4];164.0;DBL
[7, 8];[12, 4];290.0;DBL
[7, 8];[1, 5];15.0;DBL
[7, 8];[2, 5];167.0;DBL
[7, 8];[3, 5];39.0;DBL
[7, 8];[4, 5];0.0;DBL
[7, 8];[5, 5];14.0;DBL
[7, 8];[6, 5];59.0;DBL
[7, 8];[7, 5];9.2;DBL
[7, 8];[8, 5];130.0;DBL
[7, 8];[9, 5];26.0;DBL
[7, 8];[10, 5];114.0;DBL
[7, 8];[11, 5];31.0;DBL
[7, 8];[12, 5];94.0;DBL
[7, 8];[1, 6];75.0;DBL
[7, 8];[2, 6];348.0;DBL
[7, 8];[3, 6];123.0;DBL
[7, 8];[4, 6];0.0;DBL
[7, 8];[5, 6];72.0;DBL
[7, 8];[6, 6];162.0;DBL
