race;horseNumber;odds;type
[8, 9];[1, 1];30.0;DBL
[8, 9];[2, 1];93.0;DBL
[8, 9];[3, 1];91.0;DBL
[8, 9];[4, 1];12.0;DBL
[8, 9];[5, 1];57.0;DBL
[8, 9];[6, 1];25.0;DBL
[8, 9];[1, 2];401.0;DBL
[8, 9];[2, 2];632.0;DBL
[8, 9];[3, 2];470.0;DBL
[8, 9];[4, 2];150.0;DBL
[8, 9];[5, 2];565.0;DBL
[8, 9];[6, 2];309.0;DBL
[8, 9];[1, 3];217.0;DBL
[8, 9];[2, 3];385.0;DBL
[8, 9];[3, 3];307.0;DBL
[8, 9];[4, 3];78.0;DBL
[8, 9];[5, 3];245.0;DBL
[8, 9];[6, 3];148.0;DBL
[8, 9];[1, 4];36.0;DBL
[8, 9];[2, 4];98.0;DBL
[8, 9];[3, 4];58.0;DBL
[8, 9];[4, 4];10.0;DBL
[8, 9];[5, 4];32.0;DBL
[8, 9];[6, 4];14.0;DBL
[8, 9];[1, 5];26.0;DBL
[8, 9];[2, 5];63.0;DBL
[8, 9];[3, 5];40.0;DBL
[8, 9];[4, 5];5.6;DBL
[8, 9];[5, 5];19.0;DBL
[8, 9];[6, 5];8.2;DBL
[8, 9];[1, 6];595.0;DBL
[8, 9];[2, 6];999.0;DBL
[8, 9];[3, 6];919.0;DBL
[8, 9];[4, 6];146.0;DBL
[8, 9];[5, 6];623.0;DBL
[8, 9];[6, 6];416.0;DBL
[8, 9];[1, 7];90.0;DBL
[8, 9];[2, 7];144.0;DBL
[8, 9];[3, 7];168.0;DBL
[8, 9];[4, 7];37.0;DBL
[8, 9];[5, 7];104.0;DBL
[8, 9];[6, 7];69.0;DBL
[8, 9];[1, 8];55.0;DBL
[8, 9];[2, 8];162.0;DBL
[8, 9];[3, 8];114.0;DBL
[8, 9];[4, 8];31.0;DBL
[8, 9];[5, 8];53.0;DBL
[8, 9];[6, 8];40.0;DBL
[8, 9];[1, 9];259.0;DBL
[8, 9];[2, 9];548.0;DBL
[8, 9];[3, 9];369.0;DBL
[8, 9];[4, 9];110.0;DBL
[8, 9];[5, 9];307.0;DBL
[8, 9];[6, 9];198.0;DBL
[8, 9];[1, 10];483.0;DBL
